date,NO,NO2,NOX,SO2,TOUT,RH,day
2020-01-01 00:00:00,,,,,,,2020-01-01
2020-01-01 01:00:00,2.0,5.2,7.2,,11.68,93.0,2020-01-01
2020-01-01 02:00:00,2.6,5.0,7.6,,11.68,93.0,2020-01-01
2020-01-01 03:00:00,3.1,5.9,8.9,,11.7,93.0,2020-01-01
2020-01-01 04:00:00,2.0,4.5,6.5,,11.8,93.0,2020-01-01
2020-01-01 05:00:00,1.8,3.5,5.3,,11.83,93.0,2020-01-01
2020-01-01 06:00:00,1.5,2.4,3.8,,11.93,93.0,2020-01-01
2020-01-01 07:00:00,1.6,2.9,4.4,,12.01,93.0,2020-01-01
2020-01-01 08:00:00,2.2,4.0,6.2,,12.11,92.8,2020-01-01
2020-01-01 09:00:00,2.0,3.2,5.2,,12.24,92.6,2020-01-01
2020-01-01 10:00:00,2.4,4.7,7.1,,12.51,92.4,2020-01-01
2020-01-01 11:00:00,3.5,7.4,10.8,,12.93,92.2,2020-01-01
2020-01-01 12:00:00,10.1,9.9,19.9,,13.89,92.0,2020-01-01
2020-01-01 13:00:00,14.9,11.0,25.6,,15.36,90.0,2020-01-01
2020-01-01 14:00:00,15.9,13.0,28.7,0.6,15.91,89.0,2020-01-01
2020-01-01 15:00:00,11.7,13.3,24.8,0.5,16.65,85.0,2020-01-01
2020-01-01 16:00:00,10.1,14.8,24.8,0.5,16.67,84.0,2020-01-01
2020-01-01 17:00:00,5.1,12.3,17.3,0.5,16.09,83.0,2020-01-01
2020-01-01 18:00:00,3.6,11.3,14.8,0.5,15.02,86.0,2020-01-01
2020-01-01 19:00:00,3.5,10.6,14.0,0.5,14.66,89.0,2020-01-01
2020-01-01 20:00:00,3.3,9.9,13.2,0.5,14.6,90.0,2020-01-01
2020-01-01 21:00:00,5.3,11.8,17.0,0.5,14.45,91.0,2020-01-01
2020-01-01 22:00:00,7.3,13.7,20.8,0.5,14.3,92.0,2020-01-01
2020-01-01 23:00:00,5.35,10.85,16.0,0.5,14.18,92.0,2020-01-01
2020-01-02 00:00:00,3.4,8.0,11.2,0.5,14.06,92.0,2020-01-02
2020-01-02 01:00:00,2.1,4.6,6.6,0.5,13.89,92.0,2020-01-02
2020-01-02 02:00:00,1.8,3.6,5.4,0.5,13.82,92.0,2020-01-02
2020-01-02 03:00:00,1.9,4.9,6.7,0.5,13.73,92.0,2020-01-02
2020-01-02 04:00:00,2.4,6.7,9.0,0.5,13.6,91.0,2020-01-02
2020-01-02 05:00:00,2.4,7.4,9.8,0.5,13.25,90.0,2020-01-02
2020-01-02 06:00:00,4.3,7.5,11.8,0.5,12.75,91.0,2020-01-02
2020-01-02 07:00:00,13.5,8.3,21.7,0.5,12.21,92.0,2020-01-02
2020-01-02 08:00:00,14.5,8.9,23.3,0.5,11.82,92.0,2020-01-02
2020-01-02 09:00:00,44.0,13.2,56.9,1.2,12.11,91.0,2020-01-02
2020-01-02 10:00:00,48.5,13.4,61.6,1.3,14.85,85.0,2020-01-02
2020-01-02 11:00:00,7.9,7.3,15.1,0.8,17.26,71.0,2020-01-02
2020-01-02 12:00:00,5.0,4.3,9.2,0.6,19.43,62.0,2020-01-02
2020-01-02 13:00:00,3.9,2.9,6.9,0.7,21.72,52.0,2020-01-02
2020-01-02 14:00:00,3.6,3.3,6.9,0.8,22.64,52.0,2020-01-02
2020-01-02 15:00:00,3.2,3.2,6.3,0.5,23.64,54.0,2020-01-02
2020-01-02 16:00:00,2.3,3.9,6.2,4.0,24.14,53.0,2020-01-02
2020-01-02 17:00:00,2.2,3.8,5.9,1.7,22.56,60.0,2020-01-02
2020-01-02 18:00:00,5.4,9.7,15.0,0.9,22.65,59.0,2020-01-02
2020-01-02 19:00:00,38.7,20.7,59.1,1.1,20.67,68.0,2020-01-02
2020-01-02 20:00:00,36.0,19.8,55.6,1.2,19.22,74.0,2020-01-02
2020-01-02 21:00:00,12.2,14.6,26.7,0.9,17.52,79.0,2020-01-02
2020-01-02 22:00:00,19.9,12.8,32.5,0.8,16.7,81.0,2020-01-02
2020-01-02 23:00:00,19.6,12.5,31.9,0.7,15.85,82.0,2020-01-02
2020-01-03 00:00:00,39.3,11.8,50.7,1.1,15.06,86.0,2020-01-03
2020-01-03 01:00:00,51.2,13.3,64.2,1.5,15.71,82.0,2020-01-03
2020-01-03 02:00:00,12.7,10.6,23.1,0.9,16.17,55.0,2020-01-03
2020-01-03 03:00:00,2.2,3.5,5.6,0.6,16.02,49.0,2020-01-03
2020-01-03 04:00:00,2.3,8.3,10.4,0.6,14.68,56.0,2020-01-03
2020-01-03 05:00:00,4.5,13.3,17.6,0.6,12.82,69.0,2020-01-03
2020-01-03 06:00:00,10.4,13.3,23.6,0.6,11.75,76.0,2020-01-03
2020-01-03 07:00:00,18.9,13.5,32.1,0.7,11.84,74.0,2020-01-03
2020-01-03 08:00:00,23.5,15.8,39.1,0.8,12.64,67.0,2020-01-03
2020-01-03 09:00:00,21.0,15.9,36.7,1.0,14.33,58.0,2020-01-03
2020-01-03 10:00:00,7.3,9.9,17.2,0.7,18.03,46.0,2020-01-03
2020-01-03 11:00:00,4.1,5.6,9.6,0.708695652173913,21.29,32.0,2020-01-03
2020-01-03 12:00:00,2.6,3.6,6.2,0.717391304347826,21.28,31.0,2020-01-03
2020-01-03 13:00:00,2.4,3.5,5.8,0.726086956521739,21.71,29.0,2020-01-03
2020-01-03 14:00:00,2.2,3.3,5.5,0.7347826086956522,21.8,27.0,2020-01-03
2020-01-03 15:00:00,1.8,3.2,4.9,0.7434782608695651,22.01,25.0,2020-01-03
2020-01-03 16:00:00,1.7,3.3,5.0,0.7521739130434782,22.12,23.0,2020-01-03
2020-01-03 17:00:00,1.9,4.1,5.9,0.7608695652173912,22.2,23.0,2020-01-03
2020-01-03 18:00:00,1.8,5.8,7.5,0.7695652173913043,21.32,24.0,2020-01-03
2020-01-03 19:00:00,2.4,10.8,13.0,0.7782608695652173,19.49,28.0,2020-01-03
2020-01-03 20:00:00,1.9,6.1,7.9,0.7869565217391304,18.06,28.0,2020-01-03
2020-01-03 21:00:00,1.8,6.5,8.3,0.7956521739130434,16.63,32.0,2020-01-03
2020-01-03 22:00:00,1.5,5.1,6.5,0.8043478260869565,16.07,34.0,2020-01-03
2020-01-03 23:00:00,1.5,4.7,6.1,0.8130434782608695,14.63,41.0,2020-01-03
2020-01-04 00:00:00,2.2,8.5,10.6,0.8217391304347826,13.36,46.0,2020-01-04
2020-01-04 01:00:00,3.7,11.9,15.5,0.8304347826086956,11.53,54.0,2020-01-04
2020-01-04 02:00:00,3.1,13.0,16.0,0.8391304347826087,10.6,61.0,2020-01-04
2020-01-04 03:00:00,2.9,10.4,13.2,0.8478260869565217,9.95,64.0,2020-01-04
2020-01-04 04:00:00,9.7,12.1,21.6,0.8565217391304348,8.92,68.0,2020-01-04
2020-01-04 05:00:00,5.0,11.3,16.2,0.8652173913043478,8.17,69.0,2020-01-04
2020-01-04 06:00:00,6.5,10.1,16.5,0.8739130434782609,7.59,71.0,2020-01-04
2020-01-04 07:00:00,14.5,11.3,25.5,0.8826086956521739,7.14,74.0,2020-01-04
2020-01-04 08:00:00,28.8,10.5,39.1,0.891304347826087,6.78,76.0,2020-01-04
2020-01-04 09:00:00,50.7,12.4,62.8,0.9,10.75,62.0,2020-01-04
2020-01-04 10:00:00,21.8,12.5,34.1,0.7,14.89,46.0,2020-01-04
2020-01-04 11:00:00,8.1,11.0,19.0,0.5,17.39,36.0,2020-01-04
2020-01-04 12:00:00,4.3,6.3,10.6,0.6,19.24,31.0,2020-01-04
2020-01-04 13:00:00,3.2,4.5,7.7,0.6,20.23,28.0,2020-01-04
2020-01-04 14:00:00,3.7,5.9,9.6,0.7,21.04,26.0,2020-01-04
2020-01-04 15:00:00,2.9,4.9,7.8,0.8,21.53,25.0,2020-01-04
2020-01-04 16:00:00,1.8,3.3,5.0,0.7,22.02,25.0,2020-01-04
2020-01-04 17:00:00,2.0,4.6,6.5,1.0,22.18,25.0,2020-01-04
2020-01-04 18:00:00,2.8,9.0,11.7,1.3,20.88,28.0,2020-01-04
2020-01-04 19:00:00,4.8,18.3,23.0,1.6,18.57,35.0,2020-01-04
2020-01-04 20:00:00,9.0,22.8,31.6,1.2,16.44,40.0,2020-01-04
2020-01-04 21:00:00,7.7,21.5,29.0,0.7,15.09,46.0,2020-01-04
2020-01-04 22:00:00,23.8,21.3,44.9,0.7,13.45,54.0,2020-01-04
2020-01-04 23:00:00,38.5,18.8,57.0,1.4,11.93,63.0,2020-01-04
2020-01-05 00:00:00,22.6,17.1,39.4,0.7,10.93,65.0,2020-01-05
2020-01-05 01:00:00,7.7,13.4,21.0,0.6749999999999999,10.64,62.0,2020-01-05
2020-01-05 02:00:00,2.8,6.7,9.4,0.6499999999999999,9.98,63.0,2020-01-05
2020-01-05 03:00:00,5.7,11.2,16.8,0.625,8.71,68.0,2020-01-05
2020-01-05 04:00:00,2.3,4.9,7.1,0.6,8.77,66.0,2020-01-05
2020-01-05 05:00:00,2.4,5.5,7.8,0.575,7.98,70.0,2020-01-05
2020-01-05 06:00:00,2.0,4.8,6.7,0.55,8.12,70.0,2020-01-05
2020-01-05 07:00:00,5.5,11.6,17.0,0.525,7.45,73.0,2020-01-05
2020-01-05 08:00:00,16.1,16.5,32.4,0.5,7.52,75.0,2020-01-05
2020-01-05 09:00:00,26.1,15.6,41.5,0.6,10.77,65.0,2020-01-05
2020-01-05 10:00:00,16.4,13.0,29.2,0.6,13.76,55.0,2020-01-05
2020-01-05 11:00:00,15.0,14.4,29.1,1.0,16.4,47.0,2020-01-05
2020-01-05 12:00:00,9.3,13.3,22.5,1.2,19.01,38.0,2020-01-05
2020-01-05 13:00:00,5.7,10.9,16.5,1.3,21.21,31.0,2020-01-05
2020-01-05 14:00:00,3.1,7.6,10.6,2.8,22.67,28.0,2020-01-05
2020-01-05 15:00:00,1.9,5.5,7.4,4.8,23.8,24.0,2020-01-05
2020-01-05 16:00:00,1.7,4.6,6.2,1.7,24.21,24.0,2020-01-05
2020-01-05 17:00:00,1.7,6.4,8.1,1.1,24.3,23.0,2020-01-05
2020-01-05 18:00:00,1.8,9.7,11.4,0.8,23.73,23.0,2020-01-05
2020-01-05 19:00:00,2.0,20.2,22.1,0.5,21.6,29.0,2020-01-05
2020-01-05 20:00:00,31.2,24.3,55.3,1.1,19.04,38.0,2020-01-05
2020-01-05 21:00:00,65.9,24.2,90.1,1.8,15.5,52.0,2020-01-05
2020-01-05 22:00:00,66.4,22.8,89.1,1.6,13.06,64.0,2020-01-05
2020-01-05 23:00:00,68.8,21.7,90.4,1.7,12.52,65.0,2020-01-05
