,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,deltaDate,date
0,2.5999999999999996,1.725,2.25,1.15,7.0,45.5,40.5,714.575,0.0025,89.0,3.175,0.0,10.504999999999999,0.625,166.25,0.0,2020-01-01 00:00:00
1,2.5,1.725,3.025,1.375,8.0,42.0,37.0,715.0,0.0,89.0,3.4,0.0,10.36,0.6,136.0,1.0,2020-01-01 01:00:00
2,2.59,1.725,3.025,1.375,10.0,43.0,42.0,714.6,0.0,89.0,3.3,0.0,10.4,0.6,111.0,2.0,2020-01-01 02:00:00
3,2.6,1.55,2.25,1.15,7.0,47.0,36.0,714.5,0.0,89.0,3.1,0.0,10.55,0.6,301.0,3.0,2020-01-01 03:00:00
4,2.71,1.725,3.025,1.375,3.0,50.0,47.0,714.2,0.01,89.0,2.9,0.0,10.71,2.375,117.0,4.0,2020-01-01 04:00:00
5,2.67,1.725,3.025,1.375,3.0,53.0,44.0,714.2,0.01,89.0,2.8,0.0,10.75,2.375,100.0,5.0,2020-01-01 05:00:00
6,2.59,1.725,2.25,1.15,3.0,54.0,46.0,714.2,0.0,89.0,2.7,0.0,10.81,0.725,228.0,6.0,2020-01-01 06:00:00
7,2.61,1.725,2.25,1.15,5.75,55.0,45.0,714.1,0.02,89.0,2.6,0.0,10.93,7.0,278.0,7.0,2020-01-01 07:00:00
8,2.7,1.725,3.025,1.375,2.0,50.0,39.0,714.2,0.01,89.0,2.6,0.002,11.07,2.375,120.0,8.0,2020-01-01 08:00:00
9,2.68,1.725,2.25,1.15,3.0,57.0,38.0,714.6,0.06,88.25,2.7,0.012,11.42,2.7249999999999996,227.0,9.0,2020-01-01 09:00:00
10,2.75,1.725,2.25,1.15,4.0,52.0,39.0,714.7,0.08,88.0,2.9,0.035,11.79,1.25,255.0,10.0,2020-01-01 10:00:00
11,2.8,1.725,2.25,1.15,5.0,50.0,45.0,714.7,0.08,88.0,3.1,0.065,12.32,1.75,262.0,11.0,2020-01-01 11:00:00
12,2.56,1.725,2.25,1.15,7.0,52.0,28.0,714.3,0.04,88.0,2.9,0.086,13.26,1.9000000000000001,276.0,12.0,2020-01-01 12:00:00
13,2.42,1.725,2.25,1.15,12.0,35.0,17.0,714.0,0.05,88.0,2.9,0.106,13.97,0.7250000000000001,244.0,13.0,2020-01-01 13:00:00
14,2.22,1.725,2.25,1.15,21.0,29.0,26.0,713.6,0.02,86.0,2.675,0.105,14.55,0.725,238.0,14.0,2020-01-01 14:00:00
15,2.16,1.725,2.25,1.15,25.0,23.0,7.0,713.2,0.01,84.0,2.625,0.05,14.47,0.725,235.0,15.0,2020-01-01 15:00:00
16,2.21,1.725,2.25,1.15,23.0,9.0,3.25,713.2,0.06,83.0,2.7,0.02,14.15,0.7999999999999999,255.0,16.0,2020-01-01 16:00:00
17,2.14,1.725,2.25,1.15,28.0,10.0,5.75,713.4,0.07,83.0,2.6,0.019,13.51,0.725,242.0,17.0,2020-01-01 17:00:00
18,2.12,1.725,2.25,1.15,29.0,7.0,7.0,713.4,0.06,81.0,2.5,0.004,13.49,0.725,225.0,18.0,2020-01-01 18:00:00
19,2.1,1.725,2.25,1.15,28.0,5.0,6.5,713.3,0.03,79.0,2.9,0.0,13.34,0.725,217.0,19.0,2020-01-01 19:00:00
20,2.1,1.725,2.25,1.15,30.0,8.0,7.0,713.5,0.08,78.0,2.9,0.0,13.26,0.725,226.0,20.0,2020-01-01 20:00:00
21,2.08,1.725,2.25,1.15,31.0,7.0,5.75,713.5,0.06,79.0,2.625,0.0,12.82,0.725,229.0,21.0,2020-01-01 21:00:00
22,2.1,1.725,2.25,1.15,29.0,4.0,3.25,713.3,0.04,79.0,2.7,0.0,12.88,0.8,252.0,22.0,2020-01-01 22:00:00
23,2.08,1.725,2.25,1.15,30.0,3.0,3.25,713.1,0.01,78.0,2.6,0.0,13.06,0.725,237.0,23.0,2020-01-01 23:00:00
24,2.09,1.725,2.25,1.15,29.0,3.0,2.0,712.8,0.01,74.0,2.7,0.0,13.18,1.3249999999999997,268.0,24.0,2020-01-02 00:00:00
25,2.09,1.725,2.25,1.15,26.0,2.0,3.25,712.5,0.01,80.0,2.6,0.0,12.69,0.8,254.0,25.0,2020-01-02 01:00:00
26,2.05,1.725,2.25,1.15,25.0,2.0,3.25,712.2,0.0,78.0,2.5,0.0,12.77,0.725,234.0,26.0,2020-01-02 02:00:00
27,2.03,1.725,2.25,1.15,25.0,3.0,2.0,712.2,0.0,77.0,2.5,0.0,13.03,0.725,237.0,27.0,2020-01-02 03:00:00
28,2.03,1.725,2.25,1.15,29.0,3.0,4.5,711.9,0.0,71.0,2.55,0.0,13.35,0.725,230.0,28.0,2020-01-02 04:00:00
29,2.03,1.725,2.25,1.15,27.0,4.0,3.25,711.7,0.0,71.0,2.6,0.0,13.1,0.725,236.0,29.0,2020-01-02 05:00:00
30,2.16,2.0,2.125,0.875,12.0,4.0,3.75,711.5,0.0,76.0,2.7,0.0,12.36,1.9,286.0,30.0,2020-01-02 06:00:00
31,2.17,2.0,2.25,1.15,13.0,9.0,4.0,711.4,0.0,77.0,2.5,0.0,12.66,1.9,272.0,31.0,2020-01-02 07:00:00
32,2.24,1.725,2.25,1.15,13.0,9.0,7.0,711.4,0.0,75.0,2.5,0.003,13.07,1.3249999999999997,263.0,32.0,2020-01-02 08:00:00
33,2.18,1.725,2.25,1.15,16.0,5.0,3.75,711.4,0.0,74.0,2.4,0.072,13.89,0.7999999999999999,252.0,33.0,2020-01-02 09:00:00
34,2.15,1.725,2.25,1.15,19.0,4.0,2.0,711.5,0.0,71.0,2.4,0.192,15.0,0.8,257.0,34.0,2020-01-02 10:00:00
35,2.11,1.725,2.25,1.15,26.0,9.0,4.5,711.5,0.0,56.0,2.475,0.437,19.05,0.8,256.0,35.0,2020-01-02 11:00:00
36,2.0,1.725,2.25,1.15,37.0,14.0,5.0,711.1,0.0,36.0,2.3,0.562,22.82,0.725,218.0,36.0,2020-01-02 12:00:00
37,2.07,1.725,2.55,1.175,35.0,11.0,7.0,710.6,0.0,31.0,2.3,0.316,24.06,1.4,171.0,37.0,2020-01-02 13:00:00
38,2.22,1.725,3.625,1.7500000000000002,31.0,12.0,8.0,710.4,0.0,36.0,2.4,0.411,23.22,0.7,102.0,38.0,2020-01-02 14:00:00
39,2.43,1.725,3.625,1.7500000000000002,35.0,17.0,2.0,710.2,0.0,35.0,2.8,0.362,23.59,3.6,106.0,39.0,2020-01-02 15:00:00
40,2.48,1.725,3.625,1.7500000000000002,24.0,39.0,23.0,710.3,0.0,43.0,3.6,0.192,22.08,3.6,102.0,40.0,2020-01-02 16:00:00
41,2.41,1.725,3.625,1.7500000000000002,27.0,40.0,11.0,710.4,0.0,43.0,3.7,0.201,22.39,4.7,108.0,41.0,2020-01-02 17:00:00
42,2.43,1.725,3.625,1.7500000000000002,24.0,31.0,11.0,710.7,0.0,43.0,3.3,0.034,21.18,0.6,106.0,42.0,2020-01-02 18:00:00
43,2.42,1.725,3.025,1.375,17.0,25.0,10.0,711.0,0.0,47.0,3.1,0.0,19.15,0.6,138.0,43.0,2020-01-02 19:00:00
44,2.56,1.725,3.025,1.375,10.0,34.0,8.0,711.3,0.0,48.0,3.2,0.0,18.33,0.6,140.0,44.0,2020-01-02 20:00:00
45,3.04,1.725,2.3,1.8,3.0,45.0,10.0,711.4,0.0,51.0,3.1,0.0,17.02,1.625,138.0,45.0,2020-01-02 21:00:00
46,2.67,1.725,2.25,1.15,6.0,56.0,15.0,711.7,0.0,50.0,2.9,0.0,16.42,0.9750000000000001,221.0,46.0,2020-01-02 22:00:00
47,2.5,1.725,2.25,1.15,7.0,59.0,23.0,711.9,0.0,54.0,2.8,0.0,15.23,3.5,249.0,47.0,2020-01-02 23:00:00
48,2.42,1.725,2.25,1.15,8.0,41.0,12.0,712.0,0.0,55.0,3.3,0.0,14.9,0.7750000000000001,225.0,48.0,2020-01-03 00:00:00
49,2.35,1.725,2.25,1.15,6.0,37.0,13.0,712.1,0.0,54.0,3.6,0.0,14.92,1.9,256.0,49.0,2020-01-03 01:00:00
50,2.19,1.725,2.25,1.15,15.0,30.0,16.0,712.4,0.0,47.0,3.8,0.0,16.08,0.7250000000000001,232.0,50.0,2020-01-03 02:00:00
51,2.0,1.725,2.25,1.15,36.0,29.0,4.0,712.5,0.0,41.0,3.2,0.0,17.04,0.9,238.0,51.0,2020-01-03 03:00:00
52,1.99,1.725,2.25,1.15,29.0,12.0,7.0,712.6,0.0,50.0,2.6,0.0,15.14,0.6,245.0,52.0,2020-01-03 04:00:00
53,1.99,1.725,2.25,1.15,28.0,11.0,7.25,712.8,0.0,43.0,2.6,0.0,15.89,0.8,232.0,53.0,2020-01-03 05:00:00
54,1.98,1.725,2.25,1.15,30.0,10.0,2.0,713.0,0.0,40.0,3.9,0.0,16.14,0.6,236.0,54.0,2020-01-03 06:00:00
55,2.14,2.0,2.1250000000000004,0.875,15.0,11.0,5.0,713.2,0.0,43.0,2.8,0.0,15.22,1.2,275.0,55.0,2020-01-03 07:00:00
56,2.19,2.0,2.125,0.875,11.0,18.0,5.0,713.5,0.0,43.0,3.6,0.001,15.24,2.9,285.0,56.0,2020-01-03 08:00:00
57,2.3,2.0,2.1250000000000004,0.875,15.0,38.0,7.0,713.9,0.0,41.0,4.2,0.083,15.95,2.9,281.0,57.0,2020-01-03 09:00:00
58,2.1,1.55,2.125,0.875,31.0,55.0,9.0,714.3,0.0,33.0,3.6,0.321,17.91,8.6,268.0,58.0,2020-01-03 10:00:00
59,2.03,1.55,2.1250000000000004,0.875,35.0,77.0,20.0,714.6,0.0,32.0,2.4,0.477,18.03,12.3,275.0,59.0,2020-01-03 11:00:00
60,2.01,1.55,2.1250000000000004,0.875,36.0,79.0,16.0,714.8,0.0,33.0,2.5,0.332,17.51,12.3,278.0,60.0,2020-01-03 12:00:00
61,2.03,1.55,2.125,0.875,35.0,71.0,12.25,714.7,0.0,34.0,2.4,0.118,16.79,12.2,280.0,61.0,2020-01-03 13:00:00
62,2.03,1.55,2.1250000000000004,0.875,40.0,49.0,9.0,714.6,0.0,30.0,2.4,0.466,17.6,13.8,280.0,62.0,2020-01-03 14:00:00
63,2.02,1.55,2.1250000000000004,0.875,43.0,58.0,4.0,714.6,0.0,26.0,2.725,0.399,18.36,12.0,275.0,63.0,2020-01-03 15:00:00
64,2.01,2.0,2.125,0.875,44.0,41.0,3.0,714.6,0.0,23.0,2.5,0.413,19.09,10.3,272.0,64.0,2020-01-03 16:00:00
65,2.02,2.0,2.125,0.875,43.0,32.0,6.0,714.9,0.0,23.0,2.5,0.179,19.18,6.1,262.0,65.0,2020-01-03 17:00:00
66,2.11,2.0,2.1250000000000004,0.875,37.0,10.0,5.0,715.2,0.0,23.0,2.9,0.043,18.43,3.3,269.0,66.0,2020-01-03 18:00:00
67,2.14,2.0,2.1250000000000004,0.875,26.0,14.0,13.0,715.7,0.0,26.0,4.3,0.0,17.36,2.2,262.0,67.0,2020-01-03 19:00:00
68,2.17,2.0,2.1250000000000004,0.875,19.0,21.0,10.0,715.9,0.0,28.0,2.6,0.0,16.45,2.0,267.0,68.0,2020-01-03 20:00:00
69,2.11,2.0,2.1250000000000004,0.875,26.0,12.0,9.0,716.2,0.0,27.0,3.0,0.0,16.3,1.9,270.0,69.0,2020-01-03 21:00:00
70,2.06,2.0,2.1250000000000004,0.875,29.0,21.0,3.0,716.4,0.0,30.0,3.8,0.0,15.55,1.9,259.0,70.0,2020-01-03 22:00:00
71,2.02,1.725,2.25,1.15,28.0,74.0,6.0,716.8,0.0,31.0,4.0,0.0,14.97,1.6,239.0,71.0,2020-01-03 23:00:00
72,2.01,1.725,2.25,1.15,30.0,47.0,5.0,717.0,0.0,32.0,3.9,0.0,14.44,0.8,218.0,72.0,2020-01-04 00:00:00
73,2.03,1.725,2.25,1.15,26.0,32.0,11.0,717.2,0.0,33.0,4.8,0.0,13.8,0.6,237.0,73.0,2020-01-04 01:00:00
74,2.23,1.725,3.25,1.35,10.0,48.0,17.0,717.4,0.0,40.0,3.8,0.0,12.23,0.6,107.0,74.0,2020-01-04 02:00:00
75,2.13,1.725,2.25,1.15,12.0,57.0,11.0,717.5,0.0,43.0,3.0,0.0,11.35,0.6,185.0,75.0,2020-01-04 03:00:00
76,2.06,1.725,2.25,1.15,13.0,18.0,5.0,717.5,0.0,44.0,4.1,0.0,10.89,0.7000000000000001,209.0,76.0,2020-01-04 04:00:00
77,2.14,1.725,2.25,1.15,9.0,18.0,8.0,717.6,0.0,52.0,2.9,0.0,9.58,0.7,195.0,77.0,2020-01-04 05:00:00
78,2.08,1.725,2.25,1.15,11.0,20.0,4.0,717.8,0.0,55.0,2.7,0.0,8.55,0.65,235.0,78.0,2020-01-04 06:00:00
79,2.04,2.0,2.1250000000000004,0.875,12.0,16.0,3.0,718.0,0.0,56.0,2.6,0.0,8.2,1.275,248.0,79.0,2020-01-04 07:00:00
80,2.24,1.725,2.125,0.875,6.0,18.0,5.0,718.0,0.0,56.0,2.6,0.003,8.11,0.6499999999999999,240.0,80.0,2020-01-04 08:00:00
81,2.26,1.725,2.25,1.15,8.0,25.0,8.25,718.4,0.0,51.0,2.9,0.089,10.16,0.6499999999999999,176.0,81.0,2020-01-04 09:00:00
82,2.19,2.0,2.125,0.875,18.0,25.0,6.75,718.6,0.0,39.0,3.0,0.32,13.64,1.675,256.0,82.0,2020-01-04 10:00:00
83,2.21,1.725,3.625,1.75,22.0,25.0,12.0,718.5,0.0,30.0,3.3,0.47,16.7,0.6,56.0,83.0,2020-01-04 11:00:00
84,2.09,1.725,3.625,1.75,30.0,21.0,20.0,718.3,0.0,27.0,3.1,0.572,17.8,1.375,80.0,84.0,2020-01-04 12:00:00
85,2.16,1.725,3.625,1.7500000000000002,30.0,20.0,18.0,718.0,0.0,27.0,3.1,0.52,17.94,0.625,60.0,85.0,2020-01-04 13:00:00
86,2.22,1.725,3.625,1.75,33.0,25.0,13.0,717.7,0.0,27.0,3.4,0.587,18.59,0.625,67.0,86.0,2020-01-04 14:00:00
87,2.27,1.725,3.625,1.75,36.0,23.0,11.0,717.3,0.0,26.0,4.0,0.506,19.33,0.625,69.0,87.0,2020-01-04 15:00:00
88,2.31,1.725,3.875,1.45,39.0,25.0,18.0,717.2,0.0,26.0,4.0,0.373,19.68,0.6,66.0,88.0,2020-01-04 16:00:00
89,2.27,1.725,3.625,1.7500000000000002,41.0,27.0,13.0,717.3,0.0,28.0,3.0,0.17,19.63,1.375,109.0,89.0,2020-01-04 17:00:00
90,2.26,1.725,3.25,1.35,32.0,26.0,16.0,717.4,0.0,34.0,2.8,0.043,17.29,0.6,134.0,90.0,2020-01-04 18:00:00
91,2.29,1.725,3.025,1.375,27.0,21.0,11.0,717.5,0.0,38.0,2.8,0.0,15.4,0.6,145.0,91.0,2020-01-04 19:00:00
92,2.42,1.725,3.025,1.375,19.0,41.0,9.0,717.6,0.0,42.0,2.875,0.0,14.33,0.6,156.0,92.0,2020-01-04 20:00:00
93,2.52,1.725,2.125,0.875,16.0,55.0,18.0,717.8,0.0,47.0,3.8249999999999997,0.0,12.99,0.9000000000000001,233.0,93.0,2020-01-04 21:00:00
94,2.63,1.725,2.125,0.875,11.0,56.0,21.0,717.8,0.0,50.0,3.6,0.0,12.47,2.9,238.0,94.0,2020-01-04 22:00:00
95,2.73,1.725,2.4,0.7,6.0,53.0,30.0,717.8,0.0,52.0,5.3,0.0,12.0,0.9,211.0,95.0,2020-01-04 23:00:00
96,2.35,1.725,2.125,0.875,17.0,66.0,26.0,717.8,0.0,53.0,3.8,0.0,11.32,0.9000000000000001,235.0,96.0,2020-01-05 00:00:00
97,2.18,1.725,2.125,0.875,21.0,43.0,13.0,717.8,0.0,54.0,3.1,0.0,10.93,1.225,239.0,97.0,2020-01-05 01:00:00
98,2.14,1.725,2.125,0.875,21.0,43.0,10.0,717.8,0.0,55.0,4.0,0.0,10.42,1.225,239.0,98.0,2020-01-05 02:00:00
99,2.18,1.725,2.125,0.875,15.0,43.0,10.0,717.6,0.0,55.0,5.8,0.0,10.15,1.225,235.0,99.0,2020-01-05 03:00:00
100,2.08,1.55,2.1250000000000004,0.875,19.0,48.75,11.25,717.5,0.0,55.0,4.8,0.0,9.81,1.225,231.0,100.0,2020-01-05 04:00:00
101,2.11,1.55,2.1250000000000004,0.875,17.0,46.25,8.0,717.5,0.0,56.0,4.8,0.0,9.44,1.225,238.0,101.0,2020-01-05 05:00:00
102,2.07,1.55,2.125,0.875,22.0,46.0,6.0,717.5,0.0,56.0,3.0,0.0,9.27,1.225,231.0,102.0,2020-01-05 06:00:00
103,2.1,1.5499999999999998,2.125,0.875,17.0,46.0,3.0,717.6,0.0,56.0,3.1,0.0,9.01,0.9,227.0,103.0,2020-01-05 07:00:00
104,2.17,1.55,2.125,0.875,12.0,46.0,2.0,717.7,0.0,59.0,2.8,0.003,8.32,0.9,228.0,104.0,2020-01-05 08:00:00
105,2.09,1.55,2.1250000000000004,0.875,21.0,46.0,3.0,717.8,0.0,49.0,2.6,0.094,10.73,1.225,232.0,105.0,2020-01-05 09:00:00
106,2.14,1.5499999999999998,2.1250000000000004,0.875,25.0,51.75,16.25,718.0,0.0,39.0,3.1,0.323,14.06,1.225,238.0,106.0,2020-01-05 10:00:00
107,2.17,1.9749999999999999,4.225,1.8250000000000002,28.0,23.5,20.5,718.0,0.0,29.0,3.7,0.476,18.67,0.825,87.0,107.0,2020-01-05 11:00:00
108,2.17,1.9749999999999999,4.15,1.7000000000000002,31.0,23.25,14.0,717.7,0.0,24.0,4.6,0.581,20.36,0.725,68.0,108.0,2020-01-05 12:00:00
109,2.27,1.975,4.15,1.7000000000000002,32.0,24.25,25.0,717.2,0.0,24.0,5.2,0.537,20.66,0.825,87.0,109.0,2020-01-05 13:00:00
110,2.41,1.9749999999999999,4.325,1.7000000000000002,35.0,22.75,23.0,716.7,0.0,23.0,6.2,0.591,21.53,0.625,74.0,110.0,2020-01-05 14:00:00
111,2.41,1.9749999999999999,4.325,1.7000000000000002,54.0,26.5,17.0,716.4,0.0,25.0,3.9,0.501,22.05,0.625,70.0,111.0,2020-01-05 15:00:00
112,2.39,1.9749999999999999,4.3999999999999995,1.75,60.0,35.25,26.0,716.2,0.0,26.0,3.7,0.364,22.77,0.625,76.0,112.0,2020-01-05 16:00:00
113,2.38,1.975,4.324999999999999,1.7000000000000002,58.0,35.25,16.0,716.1,0.0,26.0,3.4,0.169,22.92,0.775,83.0,113.0,2020-01-05 17:00:00
114,2.49,2.025,3.7,1.05,44.0,40.25,15.0,716.1,0.0,32.0,3.2,0.044,20.74,1.2500000000000002,131.0,114.0,2020-01-05 18:00:00
115,2.41,2.025,3.7,1.05,41.0,62.0,18.0,716.3,0.0,35.0,3.0,0.0,18.64,1.5500000000000003,136.0,115.0,2020-01-05 19:00:00
116,2.37,2.25,2.875,0.925,35.0,36.0,11.0,716.4,0.0,39.0,2.7,0.0,16.76,0.65,180.0,116.0,2020-01-05 20:00:00
117,2.63,1.5499999999999998,2.1250000000000004,0.875,20.0,46.0,13.0,716.4,0.0,43.0,2.9,0.0,15.62,1.225,235.0,117.0,2020-01-05 21:00:00
118,2.59,1.55,2.1250000000000004,0.875,17.0,52.0,21.0,716.4,0.0,46.0,4.1,0.0,14.55,1.225,235.0,118.0,2020-01-05 22:00:00
119,2.55,1.5499999999999998,2.1250000000000004,0.875,16.0,52.0,28.0,716.3,0.0,47.0,5.5,0.0,14.23,1.225,236.0,119.0,2020-01-05 23:00:00
120,2.44,2.25,2.125,1.4,18.0,54.25,23.0,716.3,0.0,48.0,4.2,0.0,13.64,0.65,202.0,120.0,2020-01-06 00:00:00
121,2.47,1.55,2.1250000000000004,0.875,11.0,52.0,20.0,716.1,0.0,48.0,7.6,0.0,13.38,1.225,240.0,121.0,2020-01-06 01:00:00
122,2.3,1.5499999999999998,2.1250000000000004,0.875,20.0,48.75,17.0,715.9,0.0,47.0,4.8,0.0,13.28,1.2249999999999999,246.0,122.0,2020-01-06 02:00:00
123,2.25,1.55,2.125,0.875,18.0,48.75,15.0,715.7,0.0,48.0,5.2,0.0,12.69,1.225,237.0,123.0,2020-01-06 03:00:00
124,2.19,1.5499999999999998,2.1250000000000004,0.875,19.0,46.25,11.0,715.5,0.0,49.0,5.2,0.0,12.29,1.525,249.0,124.0,2020-01-06 04:00:00
125,2.14,1.55,2.1250000000000004,0.875,21.0,46.25,5.0,715.3,0.0,48.0,5.4,0.0,12.14,1.225,237.0,125.0,2020-01-06 05:00:00
126,2.1,1.725,2.125,1.4,20.0,45.5,7.0,715.2,0.0,47.0,4.3,0.0,11.93,0.65,210.0,126.0,2020-01-06 06:00:00
127,2.39,1.55,2.125,0.875,9.0,46.25,5.0,715.2,0.0,45.0,5.6,0.0,12.17,1.525,259.0,127.0,2020-01-06 07:00:00
128,2.68,1.55,2.2,0.8,4.0,46.25,8.0,715.2,0.0,44.0,5.2,0.002,12.21,1.525,255.0,128.0,2020-01-06 08:00:00
129,2.82,1.55,2.1,1.3,8.0,46.25,5.0,715.4,0.0,39.0,3.9,0.085,13.83,1.525,251.0,129.0,2020-01-06 09:00:00
130,2.34,1.85,2.125,0.875,20.0,46.25,6.25,715.5,0.0,32.0,2.8,0.325,16.83,1.5999999999999999,262.0,130.0,2020-01-06 10:00:00
131,2.15,1.5499999999999998,2.1250000000000004,0.875,28.0,46.25,7.0,715.5,0.0,25.0,2.6,0.479,20.42,1.2249999999999999,245.0,131.0,2020-01-06 11:00:00
132,2.24,1.725,3.875,1.45,30.0,28.0,5.0,715.2,0.0,19.0,3.3,0.585,24.2,0.8999999999999999,64.0,132.0,2020-01-06 12:00:00
133,2.35,1.725,3.875,1.45,35.0,18.0,14.0,714.8,0.0,16.0,5.1,0.543,25.48,0.85,84.0,133.0,2020-01-06 13:00:00
134,2.8,1.725,3.875,1.45,48.0,33.0,24.0,714.4,0.0,17.0,4.3,0.598,25.43,0.7,83.0,134.0,2020-01-06 14:00:00
135,3.29,2.25,4.8,2.2,56.0,65.0,42.0,714.3,0.0,19.0,8.4,0.485,26.03,1.125,89.0,135.0,2020-01-06 15:00:00
136,3.24,1.975,4.7,2.1,56.0,132.0,54.0,714.3,0.0,18.0,9.4,0.334,26.47,1.375,87.0,136.0,2020-01-06 16:00:00
137,3.2,1.75,4.4,1.6,52.0,117.0,38.0,714.4,0.0,21.0,8.5,0.172,25.96,1.475,104.0,137.0,2020-01-06 17:00:00
138,3.04,2.25,3.7,1.1,44.0,114.0,36.0,714.7,0.0,28.0,4.9,0.034,22.92,1.475,119.0,138.0,2020-01-06 18:00:00
139,2.88,2.25,3.3,0.6,37.0,87.0,11.0,715.1,0.0,31.0,5.0,0.0,21.07,1.6250000000000002,119.0,139.0,2020-01-06 19:00:00
140,2.88,1.725,3.4,0.9,27.0,64.0,12.0,715.4,0.0,30.0,8.1,0.0,20.73,1.6500000000000001,104.0,140.0,2020-01-06 20:00:00
141,3.18,1.725,4.0,2.1,10.0,64.0,20.0,715.9,0.0,31.0,10.0,0.0,19.96,1.6,105.0,141.0,2020-01-06 21:00:00
142,2.58,1.725,3.875,1.4500000000000002,30.0,71.0,19.0,716.2,0.0,30.0,7.0,0.0,20.06,2.2,115.0,142.0,2020-01-06 22:00:00
