,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,deltaDate,date
0,2.0275,2.825,7.175,8.45,18.25,66.0,54.23,734.65,0.0,96.0,5.45,0.0,11.32,5.175,352.5,0.0,2020-01-01 00:00:00
1,2.11,19.674999999999997,9.0,9.825,19.0,57.0,44.5325,735.7,0.0,96.0,5.4,0.01,11.2,8.1,352.5,1.0,2020-01-01 01:00:00
2,2.06,19.674999999999997,9.0,9.825,19.0,68.0,53.84,734.8,0.0,96.0,5.5,0.01,11.26,5.5,352.5,2.0,2020-01-01 02:00:00
3,1.96,19.674999999999997,9.0,9.825,19.0,68.0,36.47,734.2,0.0,96.0,5.4,0.01,11.35,3.8,352.5,3.0,2020-01-01 03:00:00
4,1.98,19.674999999999997,9.0,9.825,16.0,48.0,33.59,733.9,0.0,96.0,5.5,0.01,11.47,3.3,352.5,4.0,2020-01-01 04:00:00
5,2.06,19.674999999999997,9.0,9.825,13.0,42.0,33.42,733.8,0.02,96.0,5.4,0.01,11.69,3.5,352.5,5.0,2020-01-01 05:00:00
6,1.94,19.674999999999997,9.0,9.825,15.0,38.0,20.2,733.8,0.1,96.0,5.4,0.01,11.71,2.9,352.5,6.0,2020-01-01 06:00:00
7,2.06,9.45,9.0,9.825,10.0,33.0,23.84,733.6,0.06,96.0,5.45,0.01,11.84,3.8,352.5,7.0,2020-01-01 07:00:00
8,1.94,9.45,9.0,9.825,12.0,36.0,15.65,733.6,0.02,95.5,5.425000000000001,0.012,11.89,3.0,352.5,8.0,2020-01-01 08:00:00
9,2.03,9.45,9.0,9.825,7.0,21.0,17.48,734.3,0.04,94.75,5.4,0.021,12.29,11.2,352.5,9.0,2020-01-01 09:00:00
10,2.04,9.45,9.0,9.825,8.0,35.0,28.25,734.5,0.06,95.75,5.45,0.041,12.82,13.0,352.5,10.0,2020-01-01 10:00:00
11,1.98,9.45,9.0,9.825,9.0,37.0,20.68,734.4,0.04,95.5,5.425000000000001,0.074,13.58,4.4,352.5,11.0,2020-01-01 11:00:00
12,1.97,9.45,9.0,9.825,10.0,31.0,15.39,733.6,0.02,95.0,5.425000000000001,0.103,14.67,6.3,352.5,12.0,2020-01-01 12:00:00
13,2.07,19.674999999999997,9.0,9.825,8.0,28.0,15.13,732.6,0.02,95.0,5.5,0.074,15.35,7.6,352.5,13.0,2020-01-01 13:00:00
14,1.9,19.674999999999997,9.0,9.825,16.0,26.0,11.15,731.7,0.0,93.0,5.4,0.07,15.45,10.5,352.5,14.0,2020-01-01 14:00:00
15,1.78,19.674999999999997,9.0,9.825,25.0,21.0,4.98,730.7,0.0,86.0,5.4,0.046,15.62,15.9,352.5,15.0,2020-01-01 15:00:00
16,1.78,19.674999999999997,9.0,9.825,24.0,15.0,3.68,730.8,0.02,83.0,5.3,0.019,15.63,16.6,352.5,16.0,2020-01-01 16:00:00
17,1.81,19.674999999999997,9.0,9.825,24.0,10.0,5.25,731.2,0.11,89.0,5.3,0.022,14.56,10.3,352.5,17.0,2020-01-01 17:00:00
18,1.76,9.45,9.0,9.825,27.0,9.0,3.58,731.1,0.04,89.0,5.275,0.016,14.22,17.7,352.5,18.0,2020-01-01 18:00:00
19,1.79,9.45,9.0,9.825,26.0,14.0,3.66,731.1,0.04,87.0,5.2749999999999995,0.01,14.22,13.2,352.5,19.0,2020-01-01 19:00:00
20,1.84,19.674999999999997,9.0,9.825,21.0,9.0,4.49,731.4,0.06,89.0,5.4,0.01,13.84,9.1,352.5,20.0,2020-01-01 20:00:00
21,1.76,19.674999999999997,9.0,9.825,28.0,10.0,3.02,731.4,0.07,89.0,5.3,0.01,13.6,13.3,352.5,21.0,2020-01-01 21:00:00
22,1.71,19.674999999999997,9.0,9.825,32.0,10.0,2.15,731.0,0.06,86.0,5.2,0.01,13.64,14.1,352.5,22.0,2020-01-01 22:00:00
23,1.71,19.674999999999997,9.0,9.825,30.0,9.0,3.52,730.5,0.0,84.0,5.2,0.01,13.66,9.5,352.5,23.0,2020-01-01 23:00:00
24,1.74,19.674999999999997,9.0,9.825,27.0,10.0,2.785,729.8,0.0,83.0,5.3,0.009,13.68,10.1,352.5,24.0,2020-01-02 00:00:00
25,1.7,19.674999999999997,9.0,9.825,30.0,7.0,2.265,729.2,0.0,79.0,5.4,0.008,14.28,12.5,352.5,25.0,2020-01-02 01:00:00
26,1.72,19.674999999999997,9.0,9.825,26.0,3.0,2.31,728.2,0.0,80.0,5.2,0.008,14.41,15.2,352.5,26.0,2020-01-02 02:00:00
