,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,deltaDate,date
0,1.2774999999999999,5.4,8.8,14.2,10.0,26.0,7.0,722.8,0.0,89.0,1.8,0.001,16.93,1.4,204.0,11046.0,2021-04-05 06:00:00
1,1.2774999999999999,10.2,11.1,21.4,4.0,23.0,7.0,722.9,0.0,89.0,1.9,0.006,17.1,1.4,197.0,11047.0,2021-04-05 07:00:00
2,1.0875,8.2,10.0,18.2,7.0,22.0,9.0,722.9,0.0,87.0,1.9,0.077,17.7,2.1,146.0,11048.0,2021-04-05 08:00:00
3,0.16,3.9,5.6,9.6,27.0,34.0,12.0,722.9,0.0,70.0,1.8,0.208,20.38,6.7,158.0,11050.0,2021-04-05 10:00:00
4,1.085,2.5,4.5,7.0,37.0,36.0,14.0,722.8,0.0,61.0,1.9,0.283,22.24,5.2,157.0,11051.0,2021-04-05 11:00:00
5,1.1275,2.4,4.3,6.8,61.0,52.0,14.0,722.6,0.0,53.0,1.9,0.469,24.18,3.4,179.0,11052.0,2021-04-05 12:00:00
6,2.1425,15.6,11.3,26.9,2.0,40.0,20.0,721.1,0.0,80.0,2.1,0.012,16.81,1.35,263.0,11071.0,2021-04-06 07:00:00
7,2.0275,11.0,10.2,21.2,10.0,82.0,30.0,721.1,0.0,75.0,2.1,0.12,18.67,1.3,247.0,11072.0,2021-04-06 08:00:00
8,1.67,2.7,5.7,8.4,63.0,78.0,20.0,721.3,0.0,69.0,4.3,0.251,20.75,1.5,144.0,11073.0,2021-04-06 09:00:00
9,0.41,2.4,5.3,7.7,44.0,61.0,19.0,721.3,0.0,63.0,4.9,0.365,22.31,4.9,165.0,11074.0,2021-04-06 10:00:00
10,2.29,2.6,6.1,8.7,68.0,59.0,21.0,721.3,0.0,54.0,5.5,0.479,24.98,1.4,123.0,11075.0,2021-04-06 11:00:00
11,2.0,1.2,3.9,5.0,68.0,75.0,18.0,721.1,0.0,45.0,4.6,0.549,27.67,1.8,121.0,11076.0,2021-04-06 12:00:00
12,1.98,1.0,5.5,6.5,72.0,59.0,22.0,720.8,0.0,39.0,17.6,0.572,29.4,6.7,134.0,11077.0,2021-04-06 13:00:00
13,1.9,0.5,3.2,3.7,63.0,80.0,18.0,720.6,0.0,36.0,4.9,0.488,30.79,8.7,116.0,11078.0,2021-04-06 14:00:00
14,1.88,0.9,3.5,4.4,49.0,52.0,17.0,720.3,0.0,34.0,2.3,0.496,32.26,10.3,134.0,11079.0,2021-04-06 15:00:00
15,1.89,1.6,4.6,6.2,43.0,54.0,17.0,719.9,0.0,30.0,2.1,0.109,33.64,13.3,142.0,11080.0,2021-04-06 16:00:00
16,1.93,2.2,6.3,8.5,39.0,59.0,18.0,719.8,0.0,30.0,2.0,0.129,33.09,15.3,170.0,11082.0,2021-04-06 18:00:00
17,2.01,3.4,10.3,13.7,30.0,65.0,19.0,719.9,0.0,31.0,2.0,0.023,32.43,11.3,167.0,11083.0,2021-04-06 19:00:00
18,1.9,1.1,6.6,7.6,22.0,73.0,23.0,720.2,0.0,44.0,2.3,0.001,28.72,11.6,125.0,11085.0,2021-04-06 21:00:00
19,1.89,2.0,11.7,13.7,4.0,56.0,33.0,720.0,0.0,81.0,2.0,0.001,19.48,1.6,323.0,11094.0,2021-04-07 06:00:00
20,2.08,4.5,13.5,18.0,5.0,75.0,41.0,720.1,0.0,80.0,2.3,0.009,19.77,1.3,214.0,11095.0,2021-04-07 07:00:00
21,2.46,21.7,13.9,35.6,4.0,77.0,36.0,720.2,0.0,76.0,2.2,0.107,21.1,1.4,232.0,11096.0,2021-04-07 08:00:00
22,2.5,19.9,16.0,35.9,16.0,110.0,39.0,720.4,0.0,66.0,2.5,0.245,24.1,1.3,176.0,11097.0,2021-04-07 09:00:00
23,2.28,11.0,16.0,27.0,34.0,124.0,42.0,720.5,0.0,49.0,3.1,0.374,28.36,6.6,179.0,11098.0,2021-04-07 10:00:00
24,1.73,1.0,4.1,5.0,45.0,140.0,26.0,720.7,0.0,36.0,2.7,0.481,31.56,13.7,223.0,11099.0,2021-04-07 11:00:00
25,1.95,5.8,15.9,21.7,20.0,67.0,26.0,720.5,0.0,18.0,2.4,0.001,32.59,6.3,156.0,11108.0,2021-04-07 20:00:00
26,2.06,6.1,17.2,23.3,15.0,91.0,34.0,720.9,0.0,21.0,3.1,0.001,31.44,4.7,160.0,11109.0,2021-04-07 21:00:00
27,2.37,11.8,22.4,34.2,5.0,91.0,29.0,721.1,0.0,24.0,3.2,0.001,30.46,2.2,154.0,11110.0,2021-04-07 22:00:00
28,2.25,7.9,20.0,28.0,5.0,102.0,39.0,721.1,0.0,26.0,2.9,0.001,28.93,1.5,204.0,11111.0,2021-04-07 23:00:00
29,2.09,3.9,17.2,21.2,7.0,94.0,39.0,721.1,0.0,30.0,2.3,0.001,27.89,2.2,111.0,11112.0,2021-04-08 00:00:00
30,1.79,1.8,12.7,14.5,17.0,100.0,29.0,721.1,0.0,36.0,2.1,0.001,26.62,2.0,141.0,11113.0,2021-04-08 01:00:00
31,1.76,5.8,9.8,15.6,8.0,75.0,35.0,721.0,0.0,71.0,2.1,0.0,22.05,1.4,189.0,11117.0,2021-04-08 05:00:00
32,1.91,9.6,10.4,20.0,5.0,86.0,36.0,721.2,0.0,74.0,2.0,0.0,21.65,1.4,205.0,11118.0,2021-04-08 06:00:00
33,2.15,12.6,12.1,24.7,3.0,82.0,35.0,721.4,0.0,75.0,2.0,0.01,21.26,1.4,181.0,11119.0,2021-04-08 07:00:00
34,2.04,8.6,9.9,18.5,8.0,84.0,42.0,721.5,0.0,76.0,2.2,0.101,22.43,1.4249999999999998,173.0,11120.0,2021-04-08 08:00:00
35,1.9,3.8,6.5,10.3,18.0,104.0,44.0,721.6,0.0,74.0,2.7,0.242,23.71,1.5,183.0,11121.0,2021-04-08 09:00:00
36,1.79,1.3,4.6,5.9,44.0,94.0,38.0,721.5,0.0,60.0,4.5,0.374,26.69,3.8,121.0,11122.0,2021-04-08 10:00:00
37,1.71,0.7,3.8,4.5,55.0,78.0,32.0,721.5,0.0,44.0,5.1,0.481,29.45,10.4,117.0,11123.0,2021-04-08 11:00:00
38,1.68,0.8,3.3,4.1,53.0,79.0,29.0,721.2,0.0,40.0,3.0,0.525,31.04,9.7,127.0,11124.0,2021-04-08 12:00:00
39,1.64,0.6,2.8,3.3,54.0,71.0,28.0,720.7,0.0,36.0,2.3,0.538,32.72,8.7,124.0,11125.0,2021-04-08 13:00:00
40,1.6,0.6,2.8,3.4,55.0,74.0,25.0,720.3,0.0,29.0,2.1,0.482,34.15,8.9,139.0,11126.0,2021-04-08 14:00:00
41,1.64,1.4,6.4,7.7,50.0,59.0,23.0,719.5,0.0,21.0,4.9,0.188,36.6,7.0,150.0,11129.0,2021-04-08 17:00:00
42,1.85,3.2,13.6,16.8,19.0,64.0,26.0,719.6,0.0,26.0,2.3,0.001,33.4,10.1,130.0,11132.0,2021-04-08 20:00:00
43,1.77,2.8,10.9,13.7,20.0,75.0,28.0,719.8,0.0,31.0,2.0,0.0,31.83,11.6,145.0,11133.0,2021-04-08 21:00:00
44,1.66,0.6,6.1,6.6,25.0,81.0,25.0,719.8,0.0,36.0,2.0,0.0,30.02,10.9,133.0,11134.0,2021-04-08 22:00:00
45,1.66,0.6,6.0,6.5,11.0,72.0,41.0,719.0,0.0,77.0,2.2,0.0,21.52,1.8,234.0,11141.0,2021-04-09 05:00:00
46,1.78,4.6,9.8,14.4,3.0,67.0,45.0,719.0,0.0,77.0,2.1,0.0,21.29,3.2,319.0,11142.0,2021-04-09 06:00:00
47,2.14,14.4,13.0,27.5,1.0,78.0,49.0,719.0,0.0,76.0,2.1,0.014,21.2,2.4,282.0,11143.0,2021-04-09 07:00:00
48,2.28,15.7,14.1,29.9,5.0,140.0,54.0,719.0,0.0,68.0,2.3,0.121,23.46,7.2,321.0,11144.0,2021-04-09 08:00:00
49,2.26,13.2,17.4,30.7,15.0,128.0,47.0,719.0,0.0,47.0,3.7,0.258,27.53,10.2,323.0,11145.0,2021-04-09 09:00:00
50,2.5,13.1,25.0,38.1,28.0,137.0,55.0,719.1,0.0,34.0,4.1,0.383,31.39,10.5,282.0,11146.0,2021-04-09 10:00:00
51,1.85,2.3,12.2,14.6,56.0,178.0,37.0,719.1,0.0,19.0,2.5,0.489,35.77,10.0,290.0,11147.0,2021-04-09 11:00:00
52,1.51,0.6,4.4,5.1,54.0,130.0,21.0,718.8,0.0,7.0,2.0,0.561,39.84,15.5,317.0,11148.0,2021-04-09 12:00:00
53,2.57,34.0,21.0,55.0,7.0,59.0,44.0,718.8,0.0,14.0,2.5,0.0,35.3,2.8,171.0,11156.0,2021-04-09 20:00:00
54,2.56,28.5,21.3,49.8,2.0,141.0,52.0,719.1,0.0,18.0,2.9,0.0,33.22,2.3,196.0,11157.0,2021-04-09 21:00:00
55,2.52,20.5,18.7,39.3,4.0,132.0,59.0,719.3,0.0,22.0,2.5,0.0,31.34,1.6,241.0,11158.0,2021-04-09 22:00:00
56,2.65,22.4,18.6,41.0,2.0,112.0,63.0,719.4,0.0,25.0,2.4,0.0,30.24,1.4,189.0,11159.0,2021-04-09 23:00:00
57,2.99,32.2,16.8,49.1,2.0,157.0,70.0,719.5,0.0,28.0,2.4,0.0,28.61,1.4,203.0,11160.0,2021-04-10 00:00:00
58,1.91,3.3,12.6,15.9,9.0,167.0,56.0,719.5,0.0,31.0,2.3,0.0,27.47,3.7,80.0,11161.0,2021-04-10 01:00:00
59,1.87,3.7,14.0,17.7,6.0,98.0,44.0,719.5,0.0,35.0,2.5,0.0,26.98,5.1,315.0,11162.0,2021-04-10 02:00:00
60,1.96,3.9,17.6,21.6,2.0,98.0,52.0,719.5,0.0,32.0,2.9,0.0,26.97,6.5,307.0,11163.0,2021-04-10 03:00:00
61,1.94,4.7,17.4,22.2,2.0,95.0,58.0,719.6,0.0,32.0,3.1,0.0,26.64,2.2,295.0,11164.0,2021-04-10 04:00:00
62,2.1,14.0,17.6,31.7,2.0,94.0,70.0,719.6,0.0,34.0,3.4,0.0,26.46,3.6,315.0,11165.0,2021-04-10 05:00:00
63,2.53,42.0,19.0,60.9,12.5,116.0,78.0,719.6,0.0,34.0,3.9,0.0,26.26,5.1,311.0,11166.0,2021-04-10 06:00:00
64,3.06,67.2,20.2,87.3,4.0,169.0,71.0,719.9,0.0,30.0,5.9,0.013,26.32,2.7,310.0,11167.0,2021-04-10 07:00:00
65,2.32,28.3,18.7,47.0,5.0,166.0,60.0,720.1,0.0,28.0,4.7,0.113,27.49,6.4,322.0,11168.0,2021-04-10 08:00:00
66,1.77,9.6,11.6,21.2,24.0,136.0,43.0,720.4,0.0,16.0,3.8,0.229,29.74,15.6,322.0,11169.0,2021-04-10 09:00:00
67,1.43,0.6,2.9,3.5,40.0,231.0,29.0,720.8,0.0,20.0,2.3,0.379,28.46,18.8,333.0,11170.0,2021-04-10 10:00:00
68,1.44,0.5,3.1,3.6,46.0,148.0,20.0,720.8,0.0,22.0,2.2,0.484,29.86,15.5,333.0,11171.0,2021-04-10 11:00:00
69,0.41,2.7,5.7,8.4,69.0,83.0,18.0,719.5,0.0,15.0,5.0,0.241,35.94,11.2,98.0,11176.0,2021-04-10 16:00:00
70,0.41,2.8,6.0,8.8,62.0,64.0,17.0,719.5,0.0,16.0,3.5,0.279,34.89,14.5,101.0,11177.0,2021-04-10 17:00:00
71,0.42,2.6,6.1,8.7,61.0,70.0,17.0,719.5,0.0,17.0,2.9,0.15,33.82,14.4,108.0,11178.0,2021-04-10 18:00:00
72,0.43,2.4,6.5,8.8,60.0,56.0,18.0,719.6,0.0,19.0,2.7,0.037,32.21,12.8,96.0,11179.0,2021-04-10 19:00:00
73,0.49,2.3,10.0,12.3,56.0,70.0,20.0,719.8,0.0,23.0,2.7,0.0,30.24,9.8,97.0,11180.0,2021-04-10 20:00:00
74,0.99,10.2,33.7,44.0,31.0,64.0,33.0,719.9,0.0,26.0,3.0,0.0,28.97,3.6,154.0,11181.0,2021-04-10 21:00:00
75,1.09,11.6,40.4,52.2,21.0,89.0,44.0,720.1,0.0,29.0,3.1,0.0,27.7,3.0,195.0,11182.0,2021-04-10 22:00:00
76,0.79,4.5,24.5,29.0,31.0,94.0,35.0,720.3,0.0,38.0,3.3,0.0,26.24,7.0,139.0,11183.0,2021-04-10 23:00:00
77,0.52,2.2,4.5,6.7,38.0,94.0,28.0,720.4,0.0,63.0,3.0,0.0,23.97,11.7,112.0,11184.0,2021-04-11 00:00:00
78,0.48,2.1,2.9,5.0,42.0,59.0,25.0,720.4,0.0,67.0,2.9,0.0,23.21,10.5,122.0,11187.0,2021-04-11 03:00:00
79,0.49,2.1,3.0,5.1,40.0,61.0,26.0,720.4,0.0,69.0,3.5,0.0,22.83,8.5,119.0,11188.0,2021-04-11 04:00:00
80,0.67,4.6,11.2,15.9,26.0,50.0,27.0,720.6,0.0,85.0,2.5,0.015,20.23,1.7,177.0,11193.0,2021-04-11 09:00:00
81,0.67,5.4,10.1,15.5,30.0,65.0,27.0,720.7,0.0,83.0,2.5,0.049,20.74,1.6,192.0,11194.0,2021-04-11 10:00:00
82,0.57,4.0,5.9,9.9,51.0,61.0,30.0,720.6,0.0,65.0,4.6,0.38,24.88,5.8,174.0,11197.0,2021-04-11 13:00:00
83,0.58,4.4,6.0,10.4,53.0,61.0,30.0,720.3,0.0,57.0,5.3,0.493,26.72,5.2,171.0,11198.0,2021-04-11 14:00:00
84,0.58,3.9,6.0,9.9,57.0,58.0,32.0,719.9,0.0,50.0,7.9,0.484,28.49,6.5,160.0,11199.0,2021-04-11 15:00:00
85,0.57,3.9,6.9,10.9,58.0,67.0,32.0,719.6,0.0,47.0,7.6,0.47,29.86,6.0,133.0,11200.0,2021-04-11 16:00:00
86,0.56,3.7,6.4,10.0,53.0,61.0,30.0,719.2,0.0,46.0,5.3,0.287,30.31,10.1,135.0,11201.0,2021-04-11 17:00:00
87,0.61,5.1,9.6,14.7,46.0,61.0,26.0,719.1,0.0,44.0,4.5,0.178,30.35,10.2,162.0,11202.0,2021-04-11 18:00:00
88,0.69,5.4,12.0,17.5,41.0,55.0,24.0,719.1,0.0,46.0,3.3,0.07,29.56,10.4,159.0,11203.0,2021-04-11 19:00:00
