,date,deltaDate,NO,NO2,NOX,SO2,TOUT,RH,SR,PM2.5,NOPPM,NO2PPM,NOXPPM,SO2PPM,SO2_discret
0,2020-01-01 00:00:00,0.0,27.025000000000002,1.625,0.5,54.875,21.12,58.5,0.0,22.0,0.027025000000000004,0.0016250000000000001,0.0005,0.054875,aceptable
1,2020-01-01 01:00:00,1.0,25.525000000000002,1.625,0.5,13.225000000000001,11.38,94.0,0.0,9.25,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
2,2020-01-01 02:00:00,2.0,25.525000000000002,1.625,0.5,13.225000000000001,11.34,95.0,0.0,8.75,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
3,2020-01-01 03:00:00,3.0,25.525000000000002,1.625,0.5,13.225000000000001,11.39,95.0,0.0,9.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
4,2020-01-01 04:00:00,4.0,23.525000000000002,1.625,0.5,13.55,11.47,95.0,0.0,8.75,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
5,2020-01-01 05:00:00,5.0,23.525000000000002,1.625,0.5,13.55,11.56,95.0,0.0,8.0,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
6,2020-01-01 06:00:00,6.0,23.525000000000002,1.625,0.5,13.55,11.6,95.0,0.0,8.75,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
7,2020-01-01 07:00:00,7.0,23.525000000000002,1.625,0.5,13.55,11.76,95.0,0.0,8.75,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
8,2020-01-01 08:00:00,8.0,23.525000000000002,1.625,0.5,13.55,11.91,95.0,0.004,7.5,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
9,2020-01-01 09:00:00,9.0,26.475,1.625,0.5,17.05,12.23,95.0,0.021,12.0,0.026475000000000002,0.0016250000000000001,0.0005,0.017050000000000003,aceptable
10,2020-01-01 10:00:00,10.0,25.525000000000002,1.625,0.5,13.225000000000001,12.63,95.0,0.053,8.5,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
11,2020-01-01 11:00:00,11.0,25.525000000000002,1.625,0.5,13.225000000000001,13.27,94.0,0.091,11.75,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
12,2020-01-01 12:00:00,12.0,25.525000000000002,1.625,0.5,13.225000000000001,14.04,94.0,0.108,13.75,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
13,2020-01-01 13:00:00,13.0,25.525000000000002,1.6,0.5,13.225000000000001,14.78,93.0,0.071,13.75,0.025525000000000003,0.0016,0.0005,0.013225000000000002,aceptable
14,2020-01-01 14:00:00,14.0,26.1,1.6,0.5,17.075000000000003,15.33,92.0,0.083,22.75,0.0261,0.0016,0.0005,0.017075000000000003,aceptable
15,2020-01-01 15:00:00,15.0,25.525000000000002,1.625,0.5,13.225000000000001,15.97,89.0,0.065,21.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
16,2020-01-01 16:00:00,16.0,25.525000000000002,1.625,0.5,13.225000000000001,15.82,86.0,0.016,9.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
17,2020-01-01 17:00:00,17.0,26.475,1.625,0.5,17.05,15.15,88.0,0.018,6.0,0.026475000000000002,0.0016250000000000001,0.0005,0.017050000000000003,aceptable
18,2020-01-01 18:00:00,18.0,25.525000000000002,1.625,0.5,13.225000000000001,14.64,89.0,0.011,8.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
19,2020-01-01 19:00:00,19.0,25.525000000000002,1.625,0.5,13.225000000000001,14.46,88.0,0.001,3.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
20,2020-01-01 20:00:00,20.0,26.475,1.625,0.5,17.05,14.35,88.0,0.001,4.0,0.026475000000000002,0.0016250000000000001,0.0005,0.017050000000000003,aceptable
21,2020-01-01 21:00:00,21.0,23.525000000000002,1.625,0.5,13.55,14.21,88.0,0.001,9.0,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
22,2020-01-01 22:00:00,22.0,25.525000000000002,1.625,0.5,13.225000000000001,14.1,89.0,0.001,10.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
23,2020-01-01 23:00:00,23.0,25.525000000000002,1.625,0.5,13.225000000000001,14.12,89.0,0.001,16.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
24,2020-01-02 00:00:00,24.0,25.525000000000002,1.625,0.5,13.225000000000001,14.03,89.0,0.0,9.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
25,2020-01-02 01:00:00,25.0,25.525000000000002,1.625,0.5,13.225000000000001,14.17,87.0,0.001,3.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
26,2020-01-02 02:00:00,26.0,25.525000000000002,1.625,0.5,13.225000000000001,14.22,84.0,0.001,8.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
27,2020-01-02 03:00:00,27.0,26.475,1.625,0.5,17.05,14.29,81.0,0.0,4.0,0.026475000000000002,0.0016250000000000001,0.0005,0.017050000000000003,aceptable
28,2020-01-02 04:00:00,28.0,23.525000000000002,1.625,0.5,13.55,14.29,78.0,0.001,5.75,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
29,2020-01-02 05:00:00,29.0,23.525000000000002,1.625,0.5,13.55,13.65,79.0,0.001,7.0,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
30,2020-01-02 06:00:00,30.0,23.525000000000002,1.625,0.5,13.55,13.28,80.0,0.001,9.0,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
31,2020-01-02 07:00:00,31.0,23.525000000000002,1.625,0.5,13.55,13.3,79.0,0.001,3.0,0.023525000000000004,0.0016250000000000001,0.0005,0.013550000000000001,aceptable
32,2020-01-02 08:00:00,32.0,25.525000000000002,1.625,0.5,13.225000000000001,12.87,82.0,0.005,7.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
33,2020-01-02 09:00:00,33.0,25.525000000000002,1.625,0.5,13.225000000000001,14.74,75.0,0.109,10.0,0.025525000000000003,0.0016250000000000001,0.0005,0.013225000000000002,aceptable
34,2020-01-02 10:00:00,34.0,27.025000000000002,1.625,0.5,15.875000000000002,16.36,69.0,0.116,30.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
35,2020-01-02 11:00:00,35.0,27.025000000000002,1.625,0.5,15.875000000000002,17.11,67.0,0.2,31.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
36,2020-01-02 12:00:00,36.0,27.025000000000002,1.625,0.5,15.875000000000002,20.17,55.0,0.573,2.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
37,2020-01-02 13:00:00,37.0,27.025000000000002,1.625,0.5,15.875000000000002,22.12,49.0,0.492,23.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
38,2020-01-02 14:00:00,38.0,27.025000000000002,1.625,0.5,15.875000000000002,23.62,44.0,0.457,6.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
39,2020-01-02 15:00:00,39.0,27.025000000000002,1.625,0.5,15.875000000000002,24.67,41.0,0.506,14.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
40,2020-01-02 16:00:00,40.0,26.1,1.625,0.5,17.075000000000003,24.28,45.0,0.272,34.0,0.0261,0.0016250000000000001,0.0005,0.017075000000000003,aceptable
41,2020-01-02 17:00:00,41.0,27.025000000000002,1.625,0.5,15.875,24.31,46.0,0.205,8.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875,aceptable
42,2020-01-02 18:00:00,42.0,27.025000000000002,1.625,0.5,15.875000000000002,22.93,55.0,0.068,31.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
43,2020-01-02 19:00:00,43.0,27.025000000000002,1.625,0.5,15.875000000000002,21.48,62.0,0.002,36.0,0.027025000000000004,0.0016250000000000001,0.0005,0.015875000000000004,aceptable
44,2020-01-02 20:00:00,44.0,27.025,1.625,0.5,15.875,20.39,67.0,0.0,35.0,0.027025,0.0016250000000000001,0.0005,0.015875,aceptable
45,2020-01-02 21:00:00,45.0,28.15,1.625,0.5,14.8,19.48,70.0,0.0,34.0,0.028149999999999998,0.0016250000000000001,0.0005,0.0148,aceptable
46,2020-01-02 22:00:00,46.0,27.025,1.625,0.5,15.875,17.87,77.0,0.001,58.0,0.027025,0.0016250000000000001,0.0005,0.015875,aceptable
47,2020-01-02 23:00:00,47.0,27.025,1.625,0.5,15.875,17.09,79.0,0.0,33.0,0.027025,0.0016250000000000001,0.0005,0.015875,aceptable
48,2020-01-03 00:00:00,48.0,27.025,1.625,0.5,15.875,16.38,83.0,0.0,47.0,0.027025,0.0016250000000000001,0.0005,0.015875,aceptable
