,date,deltaDate,NO,NO2,NOX,SO2,TOUT,RH,SR,PM2.5,NOPPM,NO2PPM,NOXPPM,SO2PPM,SO2_discret
0,2020-02-06 18:00:00,882.0,21.9,6.5,28.2,23.4,23.33,8.0,0.15,15.0,0.0219,0.006500000000000001,0.0282,0.0234,aceptable
1,2020-02-06 19:00:00,883.0,22.5,28.1,50.5,14.3,19.62,21.0,0.01,24.0,0.0225,0.028100000000000003,0.0505,0.0143,aceptable
2,2020-02-06 20:00:00,884.0,33.0,29.6,62.5,20.6,16.43,28.0,0.0,19.0,0.033,0.0296,0.0625,0.0206,aceptable
3,2020-02-06 21:00:00,885.0,30.7,29.2,59.7,5.2,15.07,31.0,0.0,12.0,0.0307,0.0292,0.0597,0.005200000000000001,bueno
4,2020-02-06 22:00:00,886.0,27.0,26.2,53.0,10.0,14.44,32.0,0.0,15.0,0.027,0.0262,0.053,0.01,aceptable
5,2020-02-06 23:00:00,887.0,34.5,22.5,56.9,20.5,13.8,32.0,0.0,15.0,0.0345,0.0225,0.0569,0.0205,aceptable
6,2020-02-07 00:00:00,888.0,22.7,23.2,45.8,6.5,12.77,35.0,0.0,18.0,0.0227,0.0232,0.0458,0.006500000000000001,bueno
7,2020-02-07 01:00:00,889.0,19.1,23.8,42.7,5.4,11.56,38.0,0.0,21.0,0.019100000000000002,0.0238,0.0427,0.0054,bueno
8,2020-02-07 02:00:00,890.0,19.3,22.0,41.2,5.3,10.47,43.0,0.001,13.0,0.0193,0.022,0.0412,0.0053,bueno
9,2020-02-07 03:00:00,891.0,45.9,26.7,72.4,5.4,9.79,46.0,0.0,9.0,0.045899999999999996,0.0267,0.0724,0.0054,bueno
10,2020-02-07 04:00:00,892.0,52.7,24.9,77.4,5.3,9.64,47.0,0.0,15.0,0.052700000000000004,0.0249,0.07740000000000001,0.0053,bueno
11,2020-02-07 05:00:00,893.0,152.0,23.8,175.7,5.8,9.24,50.0,0.0,38.0,0.152,0.0238,0.1757,0.0058,bueno
12,2020-02-07 06:00:00,894.0,159.7,26.0,185.5,6.4,8.88,51.0,0.0,72.0,0.15969999999999998,0.026000000000000002,0.1855,0.0064,bueno
13,2020-02-07 07:00:00,895.0,207.8,25.8,233.5,6.9,8.15,55.0,0.0,66.0,0.2078,0.0258,0.2335,0.006900000000000001,bueno
14,2020-02-07 08:00:00,896.0,275.8,30.0,305.6,8.9,8.21,54.0,0.022,66.0,0.2758,0.03,0.30560000000000004,0.0089,aceptable
