,date,deltaDate,NO,NO2,NOX,SO2,TOUT,RH,SR,PM2.5,NOPPM,NO2PPM,NOXPPM,SO2PPM,SO2_discret
0,2020-01-01 00:00:00,0.0,100.52499999999999,3.1500000000000004,103.4,11.075,16.6525,2.0,0.0,21.75,0.10052499999999999,0.0031500000000000005,0.1034,0.011075,aceptable
1,2020-01-01 01:00:00,1.0,101.82499999999999,3.1500000000000004,104.675,11.0,16.6525,2.0,0.0,21.75,0.10182499999999998,0.0031500000000000005,0.104675,0.011,aceptable
2,2020-01-01 02:00:00,2.0,99.6,3.1,102.4,11.0,16.6525,2.0,0.374,21.75,0.0996,0.0031000000000000003,0.1024,0.011,aceptable
3,2020-01-01 03:00:00,3.0,100.2,3.2,103.1,11.0,16.6525,2.0,0.381,21.75,0.10020000000000001,0.0032,0.1031,0.011,aceptable
4,2020-01-01 04:00:00,4.0,101.6,3.1,104.5,11.4,16.6525,2.0,0.385,21.75,0.1016,0.0031000000000000003,0.1045,0.0114,aceptable
5,2020-01-01 05:00:00,5.0,100.7,3.2,103.6,10.9,16.6525,2.0,0.386,21.75,0.10070000000000001,0.0032,0.1036,0.0109,aceptable
6,2020-01-01 06:00:00,6.0,102.4,3.1,105.3,10.9,16.6525,2.0,0.386,21.75,0.1024,0.0031000000000000003,0.1053,0.0109,aceptable
7,2020-01-01 07:00:00,7.0,103.4,3.1,106.3,10.85,16.6525,2.0,0.384,21.75,0.1034,0.0031000000000000003,0.1063,0.01085,aceptable
8,2020-01-01 08:00:00,8.0,103.7,3.125,106.5,11.0,16.6525,2.0,0.384,21.75,0.1037,0.003125,0.1065,0.011,aceptable
9,2020-01-01 09:00:00,9.0,105.9,3.125,108.7,10.6,16.6525,2.0,0.423,21.75,0.10590000000000001,0.003125,0.1087,0.0106,aceptable
10,2020-01-01 10:00:00,10.0,95.7,3.125,98.5,10.8,16.6525,2.0,0.387,21.75,0.09570000000000001,0.003125,0.0985,0.0108,aceptable
11,2020-01-01 11:00:00,11.0,73.3,3.2,76.2,10.8,16.6525,1.75,0.311,21.75,0.0733,0.0032,0.0762,0.0108,aceptable
12,2020-01-01 12:00:00,12.0,79.5,3.1,82.4,11.2,16.6525,1.75,0.337,21.75,0.0795,0.0031000000000000003,0.0824,0.0112,aceptable
13,2020-01-01 13:00:00,13.0,74.7,3.1,77.6,11.1,16.6525,1.75,0.345,21.75,0.0747,0.0031000000000000003,0.0776,0.0111,aceptable
14,2020-01-01 14:00:00,14.0,74.6,3.125,77.5,11.0,16.6525,1.75,0.316,21.75,0.0746,0.003125,0.0775,0.011,aceptable
15,2020-01-01 15:00:00,15.0,72.8,3.2,75.8,11.1,16.6525,1.75,0.317,21.75,0.0728,0.0032,0.07579999999999999,0.0111,aceptable
16,2020-01-01 16:00:00,16.0,72.4,3.0,75.2,11.0,16.6525,1.0,0.305,21.75,0.0724,0.003,0.0752,0.011,aceptable
17,2020-01-01 17:00:00,17.0,79.1,3.1,82.0,10.9,16.6525,2.0,0.319,21.75,0.07909999999999999,0.0031000000000000003,0.082,0.0109,aceptable
18,2020-01-01 18:00:00,18.0,76.9,3.1,79.7,10.9,16.6525,2.0,0.315,21.75,0.07690000000000001,0.0031000000000000003,0.07970000000000001,0.0109,aceptable
19,2020-01-01 19:00:00,19.0,83.8,3.05,86.7,10.875,16.6525,2.0,0.337,21.75,0.0838,0.0030499999999999998,0.0867,0.010875000000000001,aceptable
20,2020-01-01 20:00:00,20.0,75.0,3.025,77.9,10.6,16.6525,2.0,0.336,21.75,0.075,0.003025,0.07790000000000001,0.0106,aceptable
21,2020-01-01 21:00:00,21.0,83.2,3.1,86.0,11.0,16.6525,2.0,0.348,21.75,0.08320000000000001,0.0031000000000000003,0.08600000000000001,0.011,aceptable
22,2020-01-01 22:00:00,22.0,84.4,3.05,87.3,11.0,16.6525,2.0,0.36,21.75,0.0844,0.0030499999999999998,0.0873,0.011,aceptable
23,2020-01-01 23:00:00,23.0,75.8,3.0,78.6,10.6,16.6525,2.0,0.35,21.75,0.07579999999999999,0.003,0.07859999999999999,0.0106,aceptable
24,2020-01-02 00:00:00,24.0,85.8,3.2,88.7,10.7,16.6525,2.0,0.376,21.75,0.0858,0.0032,0.0887,0.0107,aceptable
25,2020-01-02 01:00:00,25.0,84.6,3.1,87.5,10.5,16.6525,2.0,0.384,21.75,0.0846,0.0031000000000000003,0.08750000000000001,0.0105,aceptable
26,2020-01-02 02:00:00,26.0,79.8,3.2,82.7,10.7,16.6525,2.0,0.409,21.75,0.0798,0.0032,0.08270000000000001,0.0107,aceptable
27,2020-01-02 03:00:00,27.0,85.2,3.1,88.1,10.7,16.6525,2.0,0.398,21.75,0.0852,0.0031000000000000003,0.0881,0.0107,aceptable
28,2020-01-02 04:00:00,28.0,78.1,3.0,81.0,10.6,16.6525,2.0,0.394,21.75,0.0781,0.003,0.081,0.0106,aceptable
29,2020-01-02 05:00:00,29.0,89.7,3.2,92.6,10.6,16.6525,2.0,0.403,21.75,0.0897,0.0032,0.0926,0.0106,aceptable
30,2020-01-02 06:00:00,30.0,91.7,3.1,94.6,11.0,16.6525,2.0,0.385,21.75,0.0917,0.0031000000000000003,0.09459999999999999,0.011,aceptable
31,2020-01-02 07:00:00,31.0,90.5,3.1,93.3,11.1,16.6525,2.0,0.375,21.75,0.0905,0.0031000000000000003,0.0933,0.0111,aceptable
32,2020-01-02 08:00:00,32.0,91.3,2.9,94.2,11.2,16.6525,2.0,0.383,21.75,0.09129999999999999,0.0029,0.0942,0.0112,aceptable
33,2020-01-02 09:00:00,33.0,89.8,2.8,92.6,11.7,16.6525,2.0,0.367,21.75,0.0898,0.0028,0.0926,0.0117,aceptable
34,2020-01-02 10:00:00,34.0,83.4,3.0,86.2,11.2,16.6525,2.0,0.358,21.75,0.0834,0.003,0.0862,0.0112,aceptable
35,2020-01-02 11:00:00,35.0,75.8,3.1,78.7,11.0,16.6525,2.0,0.35,21.75,0.07579999999999999,0.0031000000000000003,0.0787,0.011,aceptable
36,2020-01-02 12:00:00,36.0,72.7,3.1,75.6,11.6,16.6525,1.75,0.285,21.75,0.0727,0.0031000000000000003,0.0756,0.0116,aceptable
37,2020-01-02 13:00:00,37.0,71.4,2.9,74.3,11.6,16.6525,1.75,0.27,21.75,0.0714,0.0029,0.0743,0.0116,aceptable
38,2020-01-02 14:00:00,38.0,69.1,2.8,71.9,11.4,11.185,2.0,0.262,24.25,0.0691,0.0028,0.0719,0.0114,aceptable
39,2020-01-02 15:00:00,39.0,69.4,2.8,72.2,11.1,11.185,2.0,0.254,24.25,0.0694,0.0028,0.0722,0.0111,aceptable
