,date,deltaDate,NO,NO2,NOX,SO2,TOUT,RH,SR,PM2.5,NOPPM,NO2PPM,NOXPPM,SO2PPM,SO2_discret
0,2021-04-05 06:00:00,11046.0,5.4,8.8,14.2,1.8,16.93,89.0,0.001,7.0,0.0054,0.0088,0.014199999999999999,0.0018000000000000002,bueno
1,2021-04-05 07:00:00,11047.0,10.2,11.1,21.4,1.9,17.1,89.0,0.006,7.0,0.010199999999999999,0.0111,0.0214,0.0019,bueno
2,2021-04-05 08:00:00,11048.0,8.2,10.0,18.2,1.9,17.7,87.0,0.077,9.0,0.008199999999999999,0.01,0.0182,0.0019,bueno
3,2021-04-05 10:00:00,11050.0,3.9,5.6,9.6,1.8,20.38,70.0,0.208,12.0,0.0039,0.0056,0.0096,0.0018000000000000002,bueno
4,2021-04-05 11:00:00,11051.0,2.5,4.5,7.0,1.9,22.24,61.0,0.283,14.0,0.0025,0.0045000000000000005,0.007,0.0019,bueno
5,2021-04-05 12:00:00,11052.0,2.4,4.3,6.8,1.9,24.18,53.0,0.469,14.0,0.0024,0.0043,0.0068,0.0019,bueno
6,2021-04-06 07:00:00,11071.0,15.6,11.3,26.9,2.1,16.81,80.0,0.012,20.0,0.0156,0.011300000000000001,0.0269,0.0021000000000000003,bueno
7,2021-04-06 08:00:00,11072.0,11.0,10.2,21.2,2.1,18.67,75.0,0.12,30.0,0.011,0.010199999999999999,0.0212,0.0021000000000000003,bueno
8,2021-04-06 09:00:00,11073.0,2.7,5.7,8.4,4.3,20.75,69.0,0.251,20.0,0.0027,0.0057,0.008400000000000001,0.0043,bueno
9,2021-04-06 10:00:00,11074.0,2.4,5.3,7.7,4.9,22.31,63.0,0.365,19.0,0.0024,0.0053,0.0077,0.004900000000000001,bueno
10,2021-04-06 11:00:00,11075.0,2.6,6.1,8.7,5.5,24.98,54.0,0.479,21.0,0.0026000000000000003,0.0060999999999999995,0.0087,0.0055,bueno
11,2021-04-06 12:00:00,11076.0,1.2,3.9,5.0,4.6,27.67,45.0,0.549,18.0,0.0012,0.0039,0.005,0.0046,bueno
12,2021-04-06 13:00:00,11077.0,1.0,5.5,6.5,17.6,29.4,39.0,0.572,22.0,0.001,0.0055,0.006500000000000001,0.0176,aceptable
13,2021-04-06 14:00:00,11078.0,0.5,3.2,3.7,4.9,30.79,36.0,0.488,18.0,0.0005,0.0032,0.0037,0.004900000000000001,bueno
14,2021-04-06 15:00:00,11079.0,0.9,3.5,4.4,2.3,32.26,34.0,0.496,17.0,0.0009000000000000001,0.0035,0.0044,0.0023,bueno
15,2021-04-06 16:00:00,11080.0,1.6,4.6,6.2,2.1,33.64,30.0,0.109,17.0,0.0016,0.0046,0.006200000000000001,0.0021000000000000003,bueno
16,2021-04-06 18:00:00,11082.0,2.2,6.3,8.5,2.0,33.09,30.0,0.129,18.0,0.0022,0.0063,0.0085,0.002,bueno
17,2021-04-06 19:00:00,11083.0,3.4,10.3,13.7,2.0,32.43,31.0,0.023,19.0,0.0034,0.0103,0.0137,0.002,bueno
18,2021-04-06 21:00:00,11085.0,1.1,6.6,7.6,2.3,28.72,44.0,0.001,23.0,0.0011,0.0066,0.0076,0.0023,bueno
19,2021-04-07 06:00:00,11094.0,2.0,11.7,13.7,2.0,19.48,81.0,0.001,33.0,0.002,0.0117,0.0137,0.002,bueno
20,2021-04-07 07:00:00,11095.0,4.5,13.5,18.0,2.3,19.77,80.0,0.009,41.0,0.0045000000000000005,0.0135,0.018000000000000002,0.0023,bueno
21,2021-04-07 08:00:00,11096.0,21.7,13.9,35.6,2.2,21.1,76.0,0.107,36.0,0.0217,0.013900000000000001,0.0356,0.0022,bueno
22,2021-04-07 09:00:00,11097.0,19.9,16.0,35.9,2.5,24.1,66.0,0.245,39.0,0.019899999999999998,0.016,0.0359,0.0025,bueno
23,2021-04-07 10:00:00,11098.0,11.0,16.0,27.0,3.1,28.36,49.0,0.374,42.0,0.011,0.016,0.027,0.0031000000000000003,bueno
24,2021-04-07 11:00:00,11099.0,1.0,4.1,5.0,2.7,31.56,36.0,0.481,26.0,0.001,0.0040999999999999995,0.005,0.0027,bueno
25,2021-04-07 20:00:00,11108.0,5.8,15.9,21.7,2.4,32.59,18.0,0.001,26.0,0.0058,0.0159,0.0217,0.0024,bueno
26,2021-04-07 21:00:00,11109.0,6.1,17.2,23.3,3.1,31.44,21.0,0.001,34.0,0.0060999999999999995,0.0172,0.0233,0.0031000000000000003,bueno
27,2021-04-07 22:00:00,11110.0,11.8,22.4,34.2,3.2,30.46,24.0,0.001,29.0,0.011800000000000001,0.0224,0.0342,0.0032,bueno
28,2021-04-07 23:00:00,11111.0,7.9,20.0,28.0,2.9,28.93,26.0,0.001,39.0,0.0079,0.02,0.028,0.0029,bueno
29,2021-04-08 00:00:00,11112.0,3.9,17.2,21.2,2.3,27.89,30.0,0.001,39.0,0.0039,0.0172,0.0212,0.0023,bueno
30,2021-04-08 01:00:00,11113.0,1.8,12.7,14.5,2.1,26.62,36.0,0.001,29.0,0.0018000000000000002,0.0127,0.0145,0.0021000000000000003,bueno
31,2021-04-08 05:00:00,11117.0,5.8,9.8,15.6,2.1,22.05,71.0,0.0,35.0,0.0058,0.009800000000000001,0.0156,0.0021000000000000003,bueno
32,2021-04-08 06:00:00,11118.0,9.6,10.4,20.0,2.0,21.65,74.0,0.0,36.0,0.0096,0.010400000000000001,0.02,0.002,bueno
33,2021-04-08 07:00:00,11119.0,12.6,12.1,24.7,2.0,21.26,75.0,0.01,35.0,0.0126,0.0121,0.0247,0.002,bueno
34,2021-04-08 08:00:00,11120.0,8.6,9.9,18.5,2.2,22.43,76.0,0.101,42.0,0.0086,0.0099,0.0185,0.0022,bueno
35,2021-04-08 09:00:00,11121.0,3.8,6.5,10.3,2.7,23.71,74.0,0.242,44.0,0.0038,0.006500000000000001,0.0103,0.0027,bueno
36,2021-04-08 10:00:00,11122.0,1.3,4.6,5.9,4.5,26.69,60.0,0.374,38.0,0.0013000000000000002,0.0046,0.005900000000000001,0.0045000000000000005,bueno
37,2021-04-08 11:00:00,11123.0,0.7,3.8,4.5,5.1,29.45,44.0,0.481,32.0,0.0007,0.0038,0.0045000000000000005,0.0050999999999999995,bueno
38,2021-04-08 12:00:00,11124.0,0.8,3.3,4.1,3.0,31.04,40.0,0.525,29.0,0.0008,0.0033,0.0040999999999999995,0.003,bueno
39,2021-04-08 13:00:00,11125.0,0.6,2.8,3.3,2.3,32.72,36.0,0.538,28.0,0.0006,0.0028,0.0033,0.0023,bueno
40,2021-04-08 14:00:00,11126.0,0.6,2.8,3.4,2.1,34.15,29.0,0.482,25.0,0.0006,0.0028,0.0034,0.0021000000000000003,bueno
41,2021-04-08 17:00:00,11129.0,1.4,6.4,7.7,4.9,36.6,21.0,0.188,23.0,0.0014,0.0064,0.0077,0.004900000000000001,bueno
42,2021-04-08 20:00:00,11132.0,3.2,13.6,16.8,2.3,33.4,26.0,0.001,26.0,0.0032,0.0136,0.016800000000000002,0.0023,bueno
43,2021-04-08 21:00:00,11133.0,2.8,10.9,13.7,2.0,31.83,31.0,0.0,28.0,0.0028,0.0109,0.0137,0.002,bueno
44,2021-04-08 22:00:00,11134.0,0.6,6.1,6.6,2.0,30.02,36.0,0.0,25.0,0.0006,0.0060999999999999995,0.0066,0.002,bueno
45,2021-04-09 05:00:00,11141.0,0.6,6.0,6.5,2.2,21.52,77.0,0.0,41.0,0.0006,0.006,0.006500000000000001,0.0022,bueno
46,2021-04-09 06:00:00,11142.0,4.6,9.8,14.4,2.1,21.29,77.0,0.0,45.0,0.0046,0.009800000000000001,0.014400000000000001,0.0021000000000000003,bueno
47,2021-04-09 07:00:00,11143.0,14.4,13.0,27.5,2.1,21.2,76.0,0.014,49.0,0.014400000000000001,0.013000000000000001,0.0275,0.0021000000000000003,bueno
48,2021-04-09 08:00:00,11144.0,15.7,14.1,29.9,2.3,23.46,68.0,0.121,54.0,0.0157,0.0141,0.0299,0.0023,bueno
49,2021-04-09 09:00:00,11145.0,13.2,17.4,30.7,3.7,27.53,47.0,0.258,47.0,0.0132,0.0174,0.0307,0.0037,bueno
50,2021-04-09 10:00:00,11146.0,13.1,25.0,38.1,4.1,31.39,34.0,0.383,55.0,0.0131,0.025,0.0381,0.0040999999999999995,bueno
51,2021-04-09 11:00:00,11147.0,2.3,12.2,14.6,2.5,35.77,19.0,0.489,37.0,0.0023,0.012199999999999999,0.0146,0.0025,bueno
52,2021-04-09 12:00:00,11148.0,0.6,4.4,5.1,2.0,39.84,7.0,0.561,21.0,0.0006,0.0044,0.0050999999999999995,0.002,bueno
53,2021-04-09 20:00:00,11156.0,34.0,21.0,55.0,2.5,35.3,14.0,0.0,44.0,0.034,0.021,0.055,0.0025,bueno
54,2021-04-09 21:00:00,11157.0,28.5,21.3,49.8,2.9,33.22,18.0,0.0,52.0,0.0285,0.0213,0.0498,0.0029,bueno
55,2021-04-09 22:00:00,11158.0,20.5,18.7,39.3,2.5,31.34,22.0,0.0,59.0,0.0205,0.0187,0.039299999999999995,0.0025,bueno
56,2021-04-09 23:00:00,11159.0,22.4,18.6,41.0,2.4,30.24,25.0,0.0,63.0,0.0224,0.018600000000000002,0.041,0.0024,bueno
57,2021-04-10 00:00:00,11160.0,32.2,16.8,49.1,2.4,28.61,28.0,0.0,70.0,0.032200000000000006,0.016800000000000002,0.049100000000000005,0.0024,bueno
58,2021-04-10 01:00:00,11161.0,3.3,12.6,15.9,2.3,27.47,31.0,0.0,56.0,0.0033,0.0126,0.0159,0.0023,bueno
59,2021-04-10 02:00:00,11162.0,3.7,14.0,17.7,2.5,26.98,35.0,0.0,44.0,0.0037,0.014,0.0177,0.0025,bueno
60,2021-04-10 03:00:00,11163.0,3.9,17.6,21.6,2.9,26.97,32.0,0.0,52.0,0.0039,0.0176,0.0216,0.0029,bueno
61,2021-04-10 04:00:00,11164.0,4.7,17.4,22.2,3.1,26.64,32.0,0.0,58.0,0.0047,0.0174,0.0222,0.0031000000000000003,bueno
62,2021-04-10 05:00:00,11165.0,14.0,17.6,31.7,3.4,26.46,34.0,0.0,70.0,0.014,0.0176,0.0317,0.0034,bueno
63,2021-04-10 06:00:00,11166.0,42.0,19.0,60.9,3.9,26.26,34.0,0.0,78.0,0.042,0.019,0.0609,0.0039,bueno
