,date,deltaDate,NO,NO2,NOX,SO2,TOUT,RH,SR,PM2.5,NOPPM,NO2PPM,NOXPPM,SO2PPM,SO2_discret
0,2020-01-01 00:00:00,0.0,1.725,2.25,1.15,3.175,10.504999999999999,89.0,0.0,40.5,0.0017250000000000002,0.0022500000000000003,0.00115,0.003175,bueno
1,2020-01-01 01:00:00,1.0,1.725,3.025,1.375,3.4,10.36,89.0,0.0,37.0,0.0017250000000000002,0.003025,0.001375,0.0034,bueno
2,2020-01-01 02:00:00,2.0,1.725,3.025,1.375,3.3,10.4,89.0,0.0,42.0,0.0017250000000000002,0.003025,0.001375,0.0033,bueno
3,2020-01-01 03:00:00,3.0,1.55,2.25,1.15,3.1,10.55,89.0,0.0,36.0,0.0015500000000000002,0.0022500000000000003,0.00115,0.0031000000000000003,bueno
4,2020-01-01 04:00:00,4.0,1.725,3.025,1.375,2.9,10.71,89.0,0.0,47.0,0.0017250000000000002,0.003025,0.001375,0.0029,bueno
5,2020-01-01 05:00:00,5.0,1.725,3.025,1.375,2.8,10.75,89.0,0.0,44.0,0.0017250000000000002,0.003025,0.001375,0.0028,bueno
6,2020-01-01 06:00:00,6.0,1.725,2.25,1.15,2.7,10.81,89.0,0.0,46.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0027,bueno
7,2020-01-01 07:00:00,7.0,1.725,2.25,1.15,2.6,10.93,89.0,0.0,45.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0026000000000000003,bueno
8,2020-01-01 08:00:00,8.0,1.725,3.025,1.375,2.6,11.07,89.0,0.002,39.0,0.0017250000000000002,0.003025,0.001375,0.0026000000000000003,bueno
9,2020-01-01 09:00:00,9.0,1.725,2.25,1.15,2.7,11.42,88.25,0.012,38.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0027,bueno
10,2020-01-01 10:00:00,10.0,1.725,2.25,1.15,2.9,11.79,88.0,0.035,39.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0029,bueno
11,2020-01-01 11:00:00,11.0,1.725,2.25,1.15,3.1,12.32,88.0,0.065,45.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0031000000000000003,bueno
12,2020-01-01 12:00:00,12.0,1.725,2.25,1.15,2.9,13.26,88.0,0.086,28.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0029,bueno
13,2020-01-01 13:00:00,13.0,1.725,2.25,1.15,2.9,13.97,88.0,0.106,17.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0029,bueno
14,2020-01-01 14:00:00,14.0,1.725,2.25,1.15,2.675,14.55,86.0,0.105,26.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.002675,bueno
15,2020-01-01 15:00:00,15.0,1.725,2.25,1.15,2.625,14.47,84.0,0.05,7.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.002625,bueno
16,2020-01-01 16:00:00,16.0,1.725,2.25,1.15,2.7,14.15,83.0,0.02,3.25,0.0017250000000000002,0.0022500000000000003,0.00115,0.0027,bueno
17,2020-01-01 17:00:00,17.0,1.725,2.25,1.15,2.6,13.51,83.0,0.019,5.75,0.0017250000000000002,0.0022500000000000003,0.00115,0.0026000000000000003,bueno
18,2020-01-01 18:00:00,18.0,1.725,2.25,1.15,2.5,13.49,81.0,0.004,7.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0025,bueno
19,2020-01-01 19:00:00,19.0,1.725,2.25,1.15,2.9,13.34,79.0,0.0,6.5,0.0017250000000000002,0.0022500000000000003,0.00115,0.0029,bueno
20,2020-01-01 20:00:00,20.0,1.725,2.25,1.15,2.9,13.26,78.0,0.0,7.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0029,bueno
21,2020-01-01 21:00:00,21.0,1.725,2.25,1.15,2.625,12.82,79.0,0.0,5.75,0.0017250000000000002,0.0022500000000000003,0.00115,0.002625,bueno
22,2020-01-01 22:00:00,22.0,1.725,2.25,1.15,2.7,12.88,79.0,0.0,3.25,0.0017250000000000002,0.0022500000000000003,0.00115,0.0027,bueno
23,2020-01-01 23:00:00,23.0,1.725,2.25,1.15,2.6,13.06,78.0,0.0,3.25,0.0017250000000000002,0.0022500000000000003,0.00115,0.0026000000000000003,bueno
24,2020-01-02 00:00:00,24.0,1.725,2.25,1.15,2.7,13.18,74.0,0.0,2.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0027,bueno
25,2020-01-02 01:00:00,25.0,1.725,2.25,1.15,2.6,12.69,80.0,0.0,3.25,0.0017250000000000002,0.0022500000000000003,0.00115,0.0026000000000000003,bueno
26,2020-01-02 02:00:00,26.0,1.725,2.25,1.15,2.5,12.77,78.0,0.0,3.25,0.0017250000000000002,0.0022500000000000003,0.00115,0.0025,bueno
27,2020-01-02 03:00:00,27.0,1.725,2.25,1.15,2.5,13.03,77.0,0.0,2.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0025,bueno
28,2020-01-02 04:00:00,28.0,1.725,2.25,1.15,2.55,13.35,71.0,0.0,4.5,0.0017250000000000002,0.0022500000000000003,0.00115,0.0025499999999999997,bueno
29,2020-01-02 05:00:00,29.0,1.725,2.25,1.15,2.6,13.1,71.0,0.0,3.25,0.0017250000000000002,0.0022500000000000003,0.00115,0.0026000000000000003,bueno
30,2020-01-02 06:00:00,30.0,2.0,2.125,0.875,2.7,12.36,76.0,0.0,3.75,0.002,0.002125,0.000875,0.0027,bueno
31,2020-01-02 07:00:00,31.0,2.0,2.25,1.15,2.5,12.66,77.0,0.0,4.0,0.002,0.0022500000000000003,0.00115,0.0025,bueno
32,2020-01-02 08:00:00,32.0,1.725,2.25,1.15,2.5,13.07,75.0,0.003,7.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0025,bueno
33,2020-01-02 09:00:00,33.0,1.725,2.25,1.15,2.4,13.89,74.0,0.072,3.75,0.0017250000000000002,0.0022500000000000003,0.00115,0.0024,bueno
34,2020-01-02 10:00:00,34.0,1.725,2.25,1.15,2.4,15.0,71.0,0.192,2.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0024,bueno
35,2020-01-02 11:00:00,35.0,1.725,2.25,1.15,2.475,19.05,56.0,0.437,4.5,0.0017250000000000002,0.0022500000000000003,0.00115,0.002475,bueno
36,2020-01-02 12:00:00,36.0,1.725,2.25,1.15,2.3,22.82,36.0,0.562,5.0,0.0017250000000000002,0.0022500000000000003,0.00115,0.0023,bueno
37,2020-01-02 13:00:00,37.0,1.725,2.55,1.175,2.3,24.06,31.0,0.316,7.0,0.0017250000000000002,0.0025499999999999997,0.001175,0.0023,bueno
