date,count
2022-03-27,24
2021-06-11,24
2021-06-12,24
2023-07-22,24
2021-06-13,24
2021-06-14,24
2023-07-03,24
2021-06-15,24
2023-05-02,24
2021-07-04,24
2020-10-31,24
2022-10-02,24
2021-06-16,22
2021-07-03,22
2020-11-01,20
2021-06-10,18
2021-09-30,15
2023-05-01,14
2022-10-03,14
2020-07-08,11
2023-07-23,11
2021-02-22,11
2021-08-23,11
2022-03-26,11
2021-02-16,10
2021-08-22,10
2023-05-03,10
2021-07-09,10
2022-03-28,10
2021-08-28,9
2022-02-05,9
2021-07-05,9
2023-07-04,8
2021-09-10,8
2021-10-26,8
2022-10-01,7
2021-09-20,7
2020-10-30,7
2021-02-21,7
2021-07-08,7
2021-07-02,7
2023-08-14,7
2021-07-29,6
2021-04-17,6
2021-09-29,6
2021-07-14,5
2021-07-06,5
2020-06-14,5
2021-07-28,5
2021-09-09,5
2021-04-23,5
2021-04-24,5
2023-07-21,5
2023-03-28,4
2021-04-18,4
2021-01-09,4
2021-02-15,4
2023-01-06,4
2020-12-17,4
2021-10-25,4
2020-06-13,4
2022-09-26,4
2021-08-03,4
2021-08-07,3
2021-06-28,3
2021-08-25,3
2021-09-07,3
2021-05-19,3
2021-09-15,3
2022-04-11,3
2022-06-12,3
2020-01-01,3
2020-12-23,3
2021-04-27,3
2021-04-22,3
2020-06-10,3
2020-06-09,3
2021-01-20,3
2023-02-28,2
2021-08-01,2
2021-01-11,2
2020-05-08,2
2021-08-15,2
2022-04-26,2
2022-10-12,2
2021-08-31,2
2020-10-02,2
2022-02-04,2
2022-03-02,2
2022-03-29,2
2022-05-20,2
2021-07-30,2
2022-04-25,2
2021-07-26,2
2021-03-11,2
2020-03-18,2
2023-07-02,2
2020-04-01,1
2022-11-01,1
2020-02-21,1
2020-07-01,1
2020-07-07,1
2022-09-05,1
2022-09-01,1
2022-08-23,1
2022-08-06,1
2022-08-01,1
2020-02-01,1
2022-07-17,1
2022-07-01,1
2023-08-01,1
2022-06-24,1
2020-07-22,1
2022-06-01,1
2023-08-12,1
2022-05-31,1
2020-01-29,1
2022-05-01,1
2020-03-01,1
2023-07-12,1
2022-11-22,1
2022-12-01,1
2020-04-07,1
2023-06-01,1
2020-05-01,1
2023-04-23,1
2023-04-01,1
2023-06-27,1
2023-06-29,1
2023-03-24,1
2023-07-01,1
2023-03-21,1
2023-03-09,1
2023-03-01,1
2023-02-13,1
2023-02-01,1
2020-06-01,1
2020-03-13,1
2022-12-26,1
2022-12-10,1
2022-12-09,1
2021-05-18,1
2020-08-20,1
2022-04-17,1
2020-12-28,1
2021-08-17,1
2021-08-16,1
2021-08-11,1
2021-08-10,1
2021-08-04,1
2020-01-08,1
2021-08-02,1
2021-07-31,1
2021-01-18,1
2021-01-21,1
2021-01-25,1
2021-01-28,1
2021-01-29,1
2021-02-01,1
2021-02-10,1
2021-02-23,1
2021-02-26,1
2021-07-01,1
2021-03-01,1
2021-04-01,1
2021-05-01,1
2021-05-11,1
2021-05-12,1
2021-08-18,1
2021-08-24,1
2020-08-01,1
2020-12-09,1
2022-04-01,1
2020-08-04,1
2020-08-14,1
2021-06-01,1
2022-03-01,1
2020-09-01,1
2022-02-01,1
2021-12-01,1
2021-11-01,1
2021-10-28,1
2020-09-21,1
2020-09-25,1
2021-10-01,1
2020-09-29,1
2020-09-30,1
2021-09-28,1
2020-10-01,1
2021-09-17,1
2020-10-24,1
2020-11-09,1
2020-11-18,1
2021-09-01,1
2020-12-01,1
2023-08-15,1
