,date,NO,NO2,NOX,SO2,TOUT,RH,SR,NO2_discret,SO2_discret,SO2_pm
0,0.0,4.3,6.375,10.625,0.8500000000000001,12.267499999999998,92.75,0.0,bueno,bueno,0.0008500000000000001
1,1.0,2.0,5.2,7.2,1.7750000000000001,11.68,93.0,0.037,bueno,bueno,0.001775
2,2.0,2.6,5.0,7.6,0.75,11.68,93.0,0.037,bueno,bueno,0.00075
3,3.0,3.1,5.9,8.9,0.7250000000000001,11.7,93.0,0.037,bueno,bueno,0.0007250000000000001
4,4.0,2.0,4.5,6.5,0.775,11.8,93.0,0.037,bueno,bueno,0.0007750000000000001
5,5.0,1.8,3.5,5.3,0.7000000000000001,11.83,93.0,0.037,bueno,bueno,0.0007000000000000001
6,6.0,1.5,2.4,3.8,1.7750000000000001,11.93,93.0,0.037,bueno,bueno,0.001775
7,7.0,1.6,2.9,4.4,0.7249999999999999,12.01,93.0,0.037,bueno,bueno,0.0007249999999999998
8,8.0,2.2,4.0,6.2,0.7249999999999999,12.11,92.25,0.039,bueno,bueno,0.0007249999999999998
9,9.0,2.0,3.2,5.2,0.525,12.24,88.25,0.045,bueno,bueno,0.0005250000000000001
10,10.0,2.4,4.7,7.1,0.6499999999999999,12.51,93.0,0.058,bueno,bueno,0.00065
11,11.0,3.5,7.4,10.8,1.85,12.93,75.5,0.073,bueno,bueno,0.00185
12,12.0,10.1,9.9,19.9,0.725,13.89,92.0,0.12,aceptable,bueno,0.000725
13,13.0,14.9,11.0,25.6,0.7,15.36,90.0,0.164,mala,bueno,0.0007
14,14.0,15.9,13.0,28.7,0.6,15.91,89.0,0.135,mala,bueno,0.0006
15,15.0,11.7,13.3,24.8,0.5,16.65,85.0,0.106,muy mala,bueno,0.0005
16,16.0,10.1,14.8,24.8,0.5,16.67,84.0,0.06,muy mala,bueno,0.0005
17,17.0,5.1,12.3,17.3,0.525,16.09,83.0,0.048,mala,bueno,0.0005250000000000001
18,18.0,3.6,11.3,14.8,0.55,15.02,86.0,0.04,mala,bueno,0.00055
19,19.0,3.5,10.6,14.0,1.85,14.66,89.0,0.037,aceptable,bueno,0.00185
20,20.0,3.3,9.9,13.2,1.85,14.6,90.0,0.037,aceptable,bueno,0.00185
21,21.0,4.375,10.55,14.8,0.525,14.405000000000001,90.75,0.0,aceptable,bueno,0.0005250000000000001
22,22.0,7.3,13.7,20.8,0.925,14.3,92.0,0.037,muy mala,bueno,0.000925
23,23.0,4.0249999999999995,7.475,12.95,0.525,14.0175,92.0,0.0,bueno,bueno,0.0005250000000000001
24,24.0,3.4,8.0,11.2,0.7249999999999999,14.06,92.0,0.037,bueno,bueno,0.0007249999999999998
25,25.0,2.1,4.6,6.6,0.7249999999999999,13.89,92.0,0.037,bueno,bueno,0.0007249999999999998
26,26.0,1.8,3.6,5.4,0.7249999999999999,13.82,92.0,0.037,bueno,bueno,0.0007249999999999998
27,27.0,1.9,4.9,6.7,0.75,13.73,92.0,0.037,bueno,bueno,0.00075
28,28.0,2.4,6.7,9.0,1.85,13.6,91.0,0.037,bueno,bueno,0.00185
29,29.0,2.4,7.4,9.8,0.7000000000000001,13.25,90.0,0.037,bueno,bueno,0.0007000000000000001
30,30.0,4.3,7.5,11.8,0.7249999999999999,12.75,91.0,0.037,bueno,bueno,0.0007249999999999998
31,31.0,13.5,8.3,21.7,0.7,12.21,92.0,0.037,bueno,bueno,0.0007
32,32.0,14.5,8.9,23.3,0.5,11.82,92.0,0.041,aceptable,bueno,0.0005
33,33.0,44.0,13.2,56.9,1.2,12.11,91.0,0.074,mala,bueno,0.0012
34,34.0,48.5,13.4,61.6,1.3,14.85,85.0,0.249,muy mala,bueno,0.0013000000000000002
35,35.0,7.9,7.3,15.1,0.8,17.26,71.0,0.374,bueno,bueno,0.0008
36,36.0,5.0,4.3,9.2,0.6,19.43,62.0,0.495,bueno,bueno,0.0006
37,37.0,3.9,2.9,6.9,0.7,21.72,52.0,0.565,bueno,bueno,0.0007
38,38.0,3.6,3.3,6.9,0.8,22.64,52.0,0.459,bueno,bueno,0.0008
39,39.0,3.2,3.2,6.3,0.5,23.64,54.0,0.509,bueno,bueno,0.0005
40,40.0,2.3,3.9,6.2,4.0,24.14,53.0,0.263,bueno,bueno,0.004
41,41.0,2.2,3.8,5.9,1.7,22.56,60.0,0.153,bueno,bueno,0.0017
42,42.0,5.4,9.7,15.0,0.9,22.65,59.0,0.092,aceptable,bueno,0.0009000000000000001
43,43.0,38.7,20.7,59.1,1.1,20.67,68.0,0.038,Extremadamente mala,bueno,0.0011
44,44.0,36.0,19.8,55.6,1.2,19.22,74.0,0.036,Extremadamente mala,bueno,0.0012
45,45.0,12.2,14.6,26.7,0.9,17.52,79.0,0.036,muy mala,bueno,0.0009000000000000001
46,46.0,19.9,12.8,32.5,0.8,16.7,81.0,0.036,mala,bueno,0.0008
47,47.0,19.6,12.5,31.9,0.7,15.85,82.0,0.036,mala,bueno,0.0007
48,48.0,39.3,11.8,50.7,1.1,15.06,86.0,0.036,mala,bueno,0.0011
49,49.0,51.2,13.3,64.2,1.5,15.71,82.0,0.036,muy mala,bueno,0.0015
50,50.0,12.7,10.6,23.1,0.9,16.17,55.0,0.036,aceptable,bueno,0.0009000000000000001
51,51.0,2.2,3.5,5.6,0.6,16.02,49.0,0.036,bueno,bueno,0.0006
52,52.0,2.3,8.3,10.4,0.6,14.68,56.0,0.036,bueno,bueno,0.0006
53,53.0,4.5,13.3,17.6,0.7,12.82,69.0,0.036,muy mala,bueno,0.0007
54,54.0,10.4,13.3,23.6,0.6,11.75,76.0,0.036,muy mala,bueno,0.0006
55,55.0,18.9,13.5,32.1,0.7,11.84,74.0,0.036,muy mala,bueno,0.0007
56,56.0,23.5,15.8,39.1,0.8,12.64,67.0,0.04,Extremadamente mala,bueno,0.0008
57,57.0,21.0,15.9,36.7,1.0,14.33,58.0,0.134,Extremadamente mala,bueno,0.001
58,58.0,7.3,9.9,17.2,0.7,18.03,46.0,0.3,aceptable,bueno,0.0007
59,59.0,4.1,5.6,9.6,0.6499999999999999,21.29,32.0,0.406,bueno,bueno,0.00065
60,60.0,2.6,3.6,6.2,0.6749999999999999,21.28,31.0,0.532,bueno,bueno,0.0006749999999999999
61,61.0,2.4,3.5,5.8,0.675,21.71,29.0,0.576,bueno,bueno,0.000675
62,62.0,2.2,3.3,5.5,0.7,21.8,27.0,0.55,bueno,bueno,0.0007
63,63.0,1.8,3.2,4.9,0.675,22.01,25.0,0.487,bueno,bueno,0.000675
64,64.0,1.7,3.3,5.0,0.6749999999999999,22.12,23.0,0.382,bueno,bueno,0.0006749999999999999
65,65.0,1.9,4.1,5.9,0.675,22.2,23.0,0.245,bueno,bueno,0.000675
66,66.0,1.8,5.8,7.5,0.6499999999999999,21.32,24.0,0.096,bueno,bueno,0.00065
67,67.0,2.4,10.8,13.0,0.675,19.49,28.0,0.037,aceptable,bueno,0.000675
68,68.0,1.9,6.1,7.9,0.6000000000000001,18.06,28.0,0.036,bueno,bueno,0.0006000000000000001
69,69.0,1.8,6.5,8.3,1.85,16.63,32.0,0.036,bueno,bueno,0.00185
70,70.0,1.5,5.1,6.5,1.85,16.07,34.0,0.036,bueno,bueno,0.00185
71,71.0,1.5,4.7,6.1,2.225,14.63,41.0,0.036,bueno,bueno,0.002225
72,72.0,2.2,8.5,10.6,0.6499999999999999,13.36,46.0,0.036,bueno,bueno,0.00065
73,73.0,3.7,11.9,15.5,0.6,11.53,54.0,0.036,mala,bueno,0.0006
74,74.0,3.1,13.0,16.0,1.125,10.6,61.0,0.036,mala,bueno,0.0011250000000000001
75,75.0,2.9,10.4,13.2,1.0,9.95,64.0,0.036,aceptable,bueno,0.001
76,76.0,9.7,12.1,21.6,0.6000000000000001,8.92,68.0,0.036,mala,bueno,0.0006000000000000001
77,77.0,5.0,11.3,16.2,0.6,8.17,69.0,0.036,mala,bueno,0.0006
78,78.0,6.5,10.1,16.5,0.6499999999999999,7.59,71.0,0.036,aceptable,bueno,0.00065
79,79.0,14.5,11.3,25.5,0.6000000000000001,7.14,74.0,0.036,mala,bueno,0.0006000000000000001
80,80.0,28.8,10.5,39.1,0.675,6.78,76.0,0.048,aceptable,bueno,0.000675
81,81.0,50.7,12.4,62.8,0.9,10.75,62.0,0.161,mala,bueno,0.0009000000000000001
82,82.0,21.8,12.5,34.1,0.875,14.89,46.0,0.309,mala,bueno,0.000875
83,83.0,8.1,11.0,19.0,0.5,17.39,36.0,0.436,mala,bueno,0.0005
84,84.0,4.3,6.3,10.6,0.6,19.24,31.0,0.527,bueno,bueno,0.0006
85,85.0,3.2,4.5,7.7,0.6,20.23,28.0,0.566,bueno,bueno,0.0006
86,86.0,3.7,5.9,9.6,0.7,21.04,26.0,0.555,bueno,bueno,0.0007
87,87.0,2.9,4.9,7.8,0.8,21.53,25.0,0.495,bueno,bueno,0.0008
88,88.0,1.8,3.3,5.0,0.7,22.02,25.0,0.388,bueno,bueno,0.0007
89,89.0,2.0,4.6,6.5,1.0,22.18,25.0,0.249,bueno,bueno,0.001
90,90.0,2.8,9.0,11.7,1.3,20.88,28.0,0.098,aceptable,bueno,0.0013000000000000002
91,91.0,4.8,18.3,23.0,1.6,18.57,35.0,0.037,Extremadamente mala,bueno,0.0016
92,92.0,9.0,22.8,31.6,1.2,16.44,40.0,0.036,Extremadamente mala,bueno,0.0012
93,93.0,7.7,21.5,29.0,0.7,15.09,46.0,0.036,Extremadamente mala,bueno,0.0007
94,94.0,23.8,21.3,44.9,0.7,13.45,54.0,0.036,Extremadamente mala,bueno,0.0007
95,95.0,38.5,18.8,57.0,1.4,11.93,63.0,0.036,Extremadamente mala,bueno,0.0014
96,96.0,22.6,17.1,39.4,0.7,10.93,65.0,0.036,Extremadamente mala,bueno,0.0007
97,97.0,7.7,13.4,21.0,1.35,10.64,62.0,0.036,muy mala,bueno,0.00135
98,98.0,2.8,6.7,9.4,1.8250000000000002,9.98,63.0,0.036,bueno,bueno,0.0018250000000000002
99,99.0,5.7,11.2,16.8,0.6,8.71,68.0,0.036,mala,bueno,0.0006
100,100.0,2.3,4.9,7.1,0.6,8.77,66.0,0.036,bueno,bueno,0.0006
101,101.0,2.4,5.5,7.8,0.6,7.98,70.0,0.036,bueno,bueno,0.0006
102,102.0,2.0,4.8,6.7,0.6,8.12,70.0,0.036,bueno,bueno,0.0006
103,103.0,5.5,11.6,17.0,0.575,7.45,73.0,0.036,mala,bueno,0.000575
104,104.0,16.1,16.5,32.4,0.5,7.52,75.0,0.048,Extremadamente mala,bueno,0.0005
105,105.0,26.1,15.6,41.5,0.6,10.77,65.0,0.161,Extremadamente mala,bueno,0.0006
106,106.0,16.4,13.0,29.2,0.6,13.76,55.0,0.305,mala,bueno,0.0006
107,107.0,15.0,14.4,29.1,1.0,16.4,47.0,0.433,muy mala,bueno,0.001
108,108.0,9.3,13.3,22.5,1.2,19.01,38.0,0.524,muy mala,bueno,0.0012
109,109.0,5.7,10.9,16.5,1.3,21.21,31.0,0.567,aceptable,bueno,0.0013000000000000002
110,110.0,3.1,7.6,10.6,2.8,22.67,28.0,0.56,bueno,bueno,0.0028
111,111.0,1.9,5.5,7.4,4.8,23.8,24.0,0.496,bueno,bueno,0.0048
112,112.0,1.7,4.6,6.2,1.7,24.21,24.0,0.38,bueno,bueno,0.0017
113,113.0,1.7,6.4,8.1,1.1,24.3,23.0,0.239,bueno,bueno,0.0011
114,114.0,1.8,9.7,11.4,0.8,23.73,23.0,0.101,aceptable,bueno,0.0008
115,115.0,2.0,20.2,22.1,0.5,21.6,29.0,0.037,Extremadamente mala,bueno,0.0005
116,116.0,31.2,24.3,55.3,1.1,19.04,38.0,0.036,Extremadamente mala,bueno,0.0011
117,117.0,65.9,24.2,90.1,1.8,15.5,52.0,0.036,Extremadamente mala,bueno,0.0018000000000000002
118,118.0,66.4,22.8,89.1,1.6,13.06,64.0,0.036,Extremadamente mala,bueno,0.0016
119,119.0,68.8,21.7,90.4,1.7,12.52,65.0,0.036,Extremadamente mala,bueno,0.0017
